WINDOW	CHROM	CHROM_WINDOW	STRAIN	GROUP	MEAN_COVERAGE	MEDIAN_COVERAGE	GENE_COUNT
2	Supercontig_1.1	1	C15.9U4s	C15.9U4s	1.23	1.24	20
2	Supercontig_1.1	1	C30.13LM	C30.13LM	0.87	0.89	20
2	Supercontig_1.1	1	C31.13MP	C31.13MP	0.92	0.93	20
2	Supercontig_1.1	1	C4.9L1	C4.9L1	1.14	1.13	20
2	Supercontig_1.1	1	C5.9L2	C5.9L2	1.01	1.03	20
2	Supercontig_1.1	1	C6.9L3	C6.9L3	1.11	1.11	20
2	Supercontig_1.1	1	C7.9L4	C7.9L4	0.97	0.96	20
2	Supercontig_1.1	1	C8.9M1	C8.9M1	0.91	0.90	20
2	Supercontig_1.1	1	C9.9M2	C9.9M2	1.02	1.03	20
2	Supercontig_1.1	1	ctl1.AL1B	ctl1.AL1B	1.03	1.05	20
2	Supercontig_1.1	1	ctl2.AL1B	ctl2.AL1B	1.04	1.07	20
2	Supercontig_1.1	1	ctl3.C9L1	ctl3.C9L1	1.02	1.03	20
3	Supercontig_1.1	2	A10.L4C	A10.L4C	1.03	1.05	20
3	Supercontig_1.1	2	A11.L11G	A11.L11G	1.05	1.05	20
3	Supercontig_1.1	2	A12.L10B	A12.L10B	1.14	1.14	20
3	Supercontig_1.1	2	A13.L3B	A13.L3B	0.98	0.99	20
3	Supercontig_1.1	2	A14.L4E	A14.L4E	1.01	1.01	20
3	Supercontig_1.1	2	A15.L4G	A15.L4G	0.98	0.98	20
3	Supercontig_1.1	2	A16.L7C	A16.L7C	1.03	1.02	20
3	Supercontig_1.1	2	A17.L1B	A17.L1B	1.02	1.02	20
3	Supercontig_1.1	2	A18.S4H	A18.S4H	0.95	0.96	20
3	Supercontig_1.1	2	A19.S3B	A19.S3B	1.07	1.07	20
3	Supercontig_1.1	2	A2.U10A	A2.U10A	1.03	1.03	20
3	Supercontig_1.1	2	A20.S1E	A20.S1E	0.86	0.85	20
3	Supercontig_1.1	2	A21.S8A	A21.S8A	0.97	0.98	20
3	Supercontig_1.1	2	A22.UpperP	A22.UpperP	1.05	1.05	20
3	Supercontig_1.1	2	A23.LowerP	A23.LowerP	1.02	1.02	20
3	Supercontig_1.1	2	A24.SputuP	A24.SputuP	1.00	1.00	20
3	Supercontig_1.1	2	A3.U3G	A3.U3G	1.15	1.15	20
3	Supercontig_1.1	2	A4.U3B	A4.U3B	0.97	0.96	20
3	Supercontig_1.1	2	A5.U10D	A5.U10D	0.94	0.95	20
3	Supercontig_1.1	2	A6.U5C	A6.U5C	1.02	1.02	20
3	Supercontig_1.1	2	A7.U3E	A7.U3E	1.13	1.14	20
3	Supercontig_1.1	2	A8.U2E	A8.U2E	0.90	0.90	20
3	Supercontig_1.1	2	A9.L3D	A9.L3D	1.15	1.16	20
3	Supercontig_1.1	2	ATCC42720	ATCC42720	1.25	1.26	20
3	Supercontig_1.1	2	B16.1310D	B16.1310D	0.86	0.86	20
3	Supercontig_1.1	2	B17.1311G	B17.1311G	0.97	0.97	20
3	Supercontig_1.1	2	B18.1312G	B18.1312G	0.88	0.88	20
3	Supercontig_1.1	2	B19.1310A	B19.1310A	0.90	0.90	20
3	Supercontig_1.1	2	B20.1311A	B20.1311A	1.04	1.04	20
3	Supercontig_1.1	2	B21.1312A	B21.1312A	0.90	0.89	20
3	Supercontig_1.1	2	B22.134E	B22.134E	0.89	0.89	20
3	Supercontig_1.1	2	B23.133H	B23.133H	0.91	0.91	20
3	Supercontig_1.1	2	B24.133F	B24.133F	0.89	0.89	20
3	Supercontig_1.1	2	B25.135C	B25.135C	0.83	0.82	20
3	Supercontig_1.1	2	B26.131A	B26.131A	0.89	0.90	20
3	Supercontig_1.1	2	B27.136A	B27.136A	0.94	0.95	20
3	Supercontig_1.1	2	B28.13UM	B28.13UM	0.88	0.88	20
3	Supercontig_1.1	2	B29.13MM	B29.13MM	0.85	0.85	20
3	Supercontig_1.1	2	C10.9M3	C10.9M3	1.00	1.00	20
3	Supercontig_1.1	2	C11.9M41	C11.9M41	0.85	0.85	20
3	Supercontig_1.1	2	C12.9U1	C12.9U1	1.24	1.25	20
3	Supercontig_1.1	2	C13.9U2	C13.9U2	1.00	1.00	20
3	Supercontig_1.1	2	C14.9U3	C14.9U3	1.22	1.22	20
3	Supercontig_1.1	2	C15.9U4s	C15.9U4s	1.15	1.15	20
3	Supercontig_1.1	2	C30.13LM	C30.13LM	0.88	0.88	20
3	Supercontig_1.1	2	C31.13MP	C31.13MP	0.88	0.89	20
3	Supercontig_1.1	2	C4.9L1	C4.9L1	1.06	1.06	20
3	Supercontig_1.1	2	C5.9L2	C5.9L2	0.98	0.98	20
3	Supercontig_1.1	2	C6.9L3	C6.9L3	1.03	1.04	20
3	Supercontig_1.1	2	C7.9L4	C7.9L4	0.93	0.93	20
3	Supercontig_1.1	2	C8.9M1	C8.9M1	0.88	0.88	20
3	Supercontig_1.1	2	C9.9M2	C9.9M2	0.99	1.00	20
3	Supercontig_1.1	2	ctl1.AL1B	ctl1.AL1B	1.04	1.04	20
3	Supercontig_1.1	2	ctl2.AL1B	ctl2.AL1B	1.04	1.04	20
3	Supercontig_1.1	2	ctl3.C9L1	ctl3.C9L1	0.98	0.98	20
4	Supercontig_1.1	3	A10.L4C	A10.L4C	1.02	1.03	20
4	Supercontig_1.1	3	A11.L11G	A11.L11G	1.00	1.01	20
4	Supercontig_1.1	3	A12.L10B	A12.L10B	1.07	1.09	20
4	Supercontig_1.1	3	A13.L3B	A13.L3B	0.99	1.00	20
4	Supercontig_1.1	3	A14.L4E	A14.L4E	0.98	1.00	20
4	Supercontig_1.1	3	A15.L4G	A15.L4G	0.93	0.94	20
4	Supercontig_1.1	3	A16.L7C	A16.L7C	1.02	1.02	20
4	Supercontig_1.1	3	A17.L1B	A17.L1B	0.99	1.01	20
4	Supercontig_1.1	3	A18.S4H	A18.S4H	0.92	0.96	20
4	Supercontig_1.1	3	A19.S3B	A19.S3B	1.05	1.05	20
4	Supercontig_1.1	3	A2.U10A	A2.U10A	1.02	1.05	20
4	Supercontig_1.1	3	A20.S1E	A20.S1E	0.88	0.90	20
4	Supercontig_1.1	3	A21.S8A	A21.S8A	0.96	0.98	20
4	Supercontig_1.1	3	A22.UpperP	A22.UpperP	1.00	1.03	20
4	Supercontig_1.1	3	A23.LowerP	A23.LowerP	0.99	1.02	20
4	Supercontig_1.1	3	A24.SputuP	A24.SputuP	0.97	0.98	20
4	Supercontig_1.1	3	A3.U3G	A3.U3G	1.12	1.13	20
4	Supercontig_1.1	3	A4.U3B	A4.U3B	0.98	1.00	20
4	Supercontig_1.1	3	A5.U10D	A5.U10D	0.92	0.94	20
4	Supercontig_1.1	3	A6.U5C	A6.U5C	1.00	1.03	20
4	Supercontig_1.1	3	A7.U3E	A7.U3E	1.07	1.10	20
4	Supercontig_1.1	3	A8.U2E	A8.U2E	0.88	0.93	20
4	Supercontig_1.1	3	A9.L3D	A9.L3D	1.12	1.15	20
4	Supercontig_1.1	3	ATCC42720	ATCC42720	1.16	1.18	20
4	Supercontig_1.1	3	B16.1310D	B16.1310D	0.87	0.87	20
4	Supercontig_1.1	3	B17.1311G	B17.1311G	0.92	0.93	20
4	Supercontig_1.1	3	B18.1312G	B18.1312G	0.87	0.88	20
4	Supercontig_1.1	3	B19.1310A	B19.1310A	0.90	0.91	20
4	Supercontig_1.1	3	B20.1311A	B20.1311A	0.99	1.00	20
4	Supercontig_1.1	3	B21.1312A	B21.1312A	0.90	0.92	20
4	Supercontig_1.1	3	B22.134E	B22.134E	0.88	0.90	20
4	Supercontig_1.1	3	B23.133H	B23.133H	0.90	0.91	20
4	Supercontig_1.1	3	B24.133F	B24.133F	0.88	0.89	20
4	Supercontig_1.1	3	B25.135C	B25.135C	0.82	0.81	20
4	Supercontig_1.1	3	B26.131A	B26.131A	0.87	0.88	20
4	Supercontig_1.1	3	B27.136A	B27.136A	0.94	0.94	20
4	Supercontig_1.1	3	B28.13UM	B28.13UM	0.91	0.88	20
4	Supercontig_1.1	3	B29.13MM	B29.13MM	0.86	0.85	20
4	Supercontig_1.1	3	C10.9M3	C10.9M3	0.97	0.97	20
4	Supercontig_1.1	3	C11.9M41	C11.9M41	0.82	0.83	20
4	Supercontig_1.1	3	C12.9U1	C12.9U1	1.13	1.11	20
4	Supercontig_1.1	3	C13.9U2	C13.9U2	0.98	1.00	20
4	Supercontig_1.1	3	C14.9U3	C14.9U3	1.14	1.15	20
4	Supercontig_1.1	3	C15.9U4s	C15.9U4s	1.11	1.12	20
4	Supercontig_1.1	3	C30.13LM	C30.13LM	0.88	0.89	20
4	Supercontig_1.1	3	C31.13MP	C31.13MP	0.82	0.82	20
4	Supercontig_1.1	3	C4.9L1	C4.9L1	1.03	1.03	20
4	Supercontig_1.1	3	C5.9L2	C5.9L2	0.94	0.94	20
4	Supercontig_1.1	3	C6.9L3	C6.9L3	0.98	0.98	20
4	Supercontig_1.1	3	C7.9L4	C7.9L4	0.90	0.89	20
4	Supercontig_1.1	3	C8.9M1	C8.9M1	0.85	0.86	20
4	Supercontig_1.1	3	C9.9M2	C9.9M2	0.96	0.96	20
4	Supercontig_1.1	3	ctl1.AL1B	ctl1.AL1B	1.01	1.01	20
4	Supercontig_1.1	3	ctl2.AL1B	ctl2.AL1B	1.02	1.02	20
4	Supercontig_1.1	3	ctl3.C9L1	ctl3.C9L1	0.96	0.97	20
5	Supercontig_1.1	4	A10.L4C	A10.L4C	1.03	1.05	20
5	Supercontig_1.1	4	A11.L11G	A11.L11G	1.00	1.00	20
5	Supercontig_1.1	4	A12.L10B	A12.L10B	1.06	1.05	20
5	Supercontig_1.1	4	A13.L3B	A13.L3B	0.99	0.98	20
5	Supercontig_1.1	4	A14.L4E	A14.L4E	1.00	1.00	20
5	Supercontig_1.1	4	A15.L4G	A15.L4G	0.97	0.98	20
5	Supercontig_1.1	4	A16.L7C	A16.L7C	1.01	1.01	20
5	Supercontig_1.1	4	A17.L1B	A17.L1B	0.99	0.99	20
5	Supercontig_1.1	4	A18.S4H	A18.S4H	0.93	0.93	20
5	Supercontig_1.1	4	A19.S3B	A19.S3B	1.03	1.04	20
5	Supercontig_1.1	4	A2.U10A	A2.U10A	0.97	0.97	20
5	Supercontig_1.1	4	A20.S1E	A20.S1E	0.88	0.89	20
5	Supercontig_1.1	4	A21.S8A	A21.S8A	0.96	0.97	20
5	Supercontig_1.1	4	A22.UpperP	A22.UpperP	1.00	1.00	20
5	Supercontig_1.1	4	A23.LowerP	A23.LowerP	0.98	0.99	20
5	Supercontig_1.1	4	A24.SputuP	A24.SputuP	0.97	0.97	20
5	Supercontig_1.1	4	A3.U3G	A3.U3G	1.08	1.06	20
5	Supercontig_1.1	4	A4.U3B	A4.U3B	0.96	0.94	20
5	Supercontig_1.1	4	A5.U10D	A5.U10D	0.91	0.92	20
5	Supercontig_1.1	4	A6.U5C	A6.U5C	0.99	1.00	20
5	Supercontig_1.1	4	A7.U3E	A7.U3E	1.05	1.06	20
5	Supercontig_1.1	4	A8.U2E	A8.U2E	0.86	0.85	20
5	Supercontig_1.1	4	A9.L3D	A9.L3D	1.10	1.12	20
5	Supercontig_1.1	4	ATCC42720	ATCC42720	1.13	1.13	20
5	Supercontig_1.1	4	B16.1310D	B16.1310D	0.84	0.84	20
5	Supercontig_1.1	4	B17.1311G	B17.1311G	0.88	0.88	20
5	Supercontig_1.1	4	B18.1312G	B18.1312G	0.85	0.86	20
5	Supercontig_1.1	4	B19.1310A	B19.1310A	0.86	0.86	20
5	Supercontig_1.1	4	B20.1311A	B20.1311A	0.94	0.94	20
5	Supercontig_1.1	4	B21.1312A	B21.1312A	0.87	0.86	20
5	Supercontig_1.1	4	B22.134E	B22.134E	0.87	0.87	20
5	Supercontig_1.1	4	B23.133H	B23.133H	0.89	0.89	20
5	Supercontig_1.1	4	B24.133F	B24.133F	0.88	0.89	20
5	Supercontig_1.1	4	B25.135C	B25.135C	0.80	0.79	20
5	Supercontig_1.1	4	B26.131A	B26.131A	0.86	0.85	20
5	Supercontig_1.1	4	B27.136A	B27.136A	0.90	0.91	20
5	Supercontig_1.1	4	B28.13UM	B28.13UM	0.83	0.82	20
5	Supercontig_1.1	4	B29.13MM	B29.13MM	0.82	0.81	20
5	Supercontig_1.1	4	C10.9M3	C10.9M3	0.92	0.92	20
5	Supercontig_1.1	4	C11.9M41	C11.9M41	0.78	0.77	20
5	Supercontig_1.1	4	C12.9U1	C12.9U1	1.04	1.03	20
5	Supercontig_1.1	4	C13.9U2	C13.9U2	0.96	0.95	20
5	Supercontig_1.1	4	C14.9U3	C14.9U3	1.07	1.07	20
5	Supercontig_1.1	4	C15.9U4s	C15.9U4s	1.08	1.09	20
5	Supercontig_1.1	4	C30.13LM	C30.13LM	0.86	0.86	20
5	Supercontig_1.1	4	C31.13MP	C31.13MP	0.77	0.78	20
5	Supercontig_1.1	4	C4.9L1	C4.9L1	0.97	0.98	20
5	Supercontig_1.1	4	C5.9L2	C5.9L2	0.90	0.89	20
5	Supercontig_1.1	4	C6.9L3	C6.9L3	0.93	0.93	20
5	Supercontig_1.1	4	C7.9L4	C7.9L4	0.84	0.85	20
5	Supercontig_1.1	4	C8.9M1	C8.9M1	0.80	0.80	20
5	Supercontig_1.1	4	C9.9M2	C9.9M2	0.91	0.90	20
5	Supercontig_1.1	4	ctl1.AL1B	ctl1.AL1B	0.98	0.98	20
5	Supercontig_1.1	4	ctl2.AL1B	ctl2.AL1B	0.98	0.99	20
5	Supercontig_1.1	4	ctl3.C9L1	ctl3.C9L1	0.92	0.93	20
6	Supercontig_1.1	5	A10.L4C	A10.L4C	1.02	1.03	20
6	Supercontig_1.1	5	A11.L11G	A11.L11G	1.00	1.00	20
6	Supercontig_1.1	5	A12.L10B	A12.L10B	1.08	1.07	20
6	Supercontig_1.1	5	A13.L3B	A13.L3B	0.99	0.98	20
6	Supercontig_1.1	5	A14.L4E	A14.L4E	1.01	0.99	20
6	Supercontig_1.1	5	A15.L4G	A15.L4G	0.96	0.97	20
6	Supercontig_1.1	5	A16.L7C	A16.L7C	1.01	1.01	20
6	Supercontig_1.1	5	A17.L1B	A17.L1B	1.00	1.01	20
6	Supercontig_1.1	5	A18.S4H	A18.S4H	0.92	0.92	20
6	Supercontig_1.1	5	A19.S3B	A19.S3B	1.01	1.01	20
6	Supercontig_1.1	5	A2.U10A	A2.U10A	0.98	0.97	20
6	Supercontig_1.1	5	A20.S1E	A20.S1E	0.88	0.89	20
6	Supercontig_1.1	5	A21.S8A	A21.S8A	0.98	0.96	20
6	Supercontig_1.1	5	A22.UpperP	A22.UpperP	0.99	0.99	20
6	Supercontig_1.1	5	A23.LowerP	A23.LowerP	0.99	0.99	20
6	Supercontig_1.1	5	A24.SputuP	A24.SputuP	0.96	0.99	20
6	Supercontig_1.1	5	A3.U3G	A3.U3G	1.08	1.09	20
6	Supercontig_1.1	5	A4.U3B	A4.U3B	0.94	0.94	20
6	Supercontig_1.1	5	A5.U10D	A5.U10D	0.92	0.92	20
6	Supercontig_1.1	5	A6.U5C	A6.U5C	0.98	0.97	20
6	Supercontig_1.1	5	A7.U3E	A7.U3E	1.06	1.07	20
6	Supercontig_1.1	5	A8.U2E	A8.U2E	0.89	0.89	20
6	Supercontig_1.1	5	A9.L3D	A9.L3D	1.09	1.10	20
6	Supercontig_1.1	5	ATCC42720	ATCC42720	1.11	1.14	20
6	Supercontig_1.1	5	B16.1310D	B16.1310D	0.83	0.82	20
6	Supercontig_1.1	5	B17.1311G	B17.1311G	0.85	0.84	20
6	Supercontig_1.1	5	B18.1312G	B18.1312G	0.83	0.82	20
6	Supercontig_1.1	5	B19.1310A	B19.1310A	0.84	0.85	20
6	Supercontig_1.1	5	B20.1311A	B20.1311A	0.90	0.90	20
6	Supercontig_1.1	5	B21.1312A	B21.1312A	0.84	0.83	20
6	Supercontig_1.1	5	B22.134E	B22.134E	0.85	0.84	20
6	Supercontig_1.1	5	B23.133H	B23.133H	0.88	0.89	20
6	Supercontig_1.1	5	B24.133F	B24.133F	0.88	0.88	20
6	Supercontig_1.1	5	B25.135C	B25.135C	0.80	0.79	20
6	Supercontig_1.1	5	B26.131A	B26.131A	0.85	0.85	20
6	Supercontig_1.1	5	B27.136A	B27.136A	0.90	0.89	20
6	Supercontig_1.1	5	B28.13UM	B28.13UM	0.85	0.84	20
6	Supercontig_1.1	5	B29.13MM	B29.13MM	0.82	0.82	20
6	Supercontig_1.1	5	C10.9M3	C10.9M3	0.91	0.90	20
6	Supercontig_1.1	5	C11.9M41	C11.9M41	0.77	0.78	20
6	Supercontig_1.1	5	C12.9U1	C12.9U1	0.97	0.97	20
6	Supercontig_1.1	5	C13.9U2	C13.9U2	0.97	0.98	20
6	Supercontig_1.1	5	C14.9U3	C14.9U3	1.02	1.03	20
6	Supercontig_1.1	5	C15.9U4s	C15.9U4s	1.03	1.04	20
6	Supercontig_1.1	5	C30.13LM	C30.13LM	0.82	0.82	20
6	Supercontig_1.1	5	C31.13MP	C31.13MP	0.73	0.73	20
6	Supercontig_1.1	5	C4.9L1	C4.9L1	0.95	0.95	20
6	Supercontig_1.1	5	C5.9L2	C5.9L2	0.88	0.88	20
6	Supercontig_1.1	5	C6.9L3	C6.9L3	0.92	0.90	20
6	Supercontig_1.1	5	C7.9L4	C7.9L4	0.84	0.84	20
6	Supercontig_1.1	5	C8.9M1	C8.9M1	0.78	0.79	20
6	Supercontig_1.1	5	C9.9M2	C9.9M2	0.90	0.90	20
6	Supercontig_1.1	5	ctl1.AL1B	ctl1.AL1B	0.97	0.99	20
6	Supercontig_1.1	5	ctl2.AL1B	ctl2.AL1B	0.97	0.97	20
6	Supercontig_1.1	5	ctl3.C9L1	ctl3.C9L1	0.92	0.92	20
7	Supercontig_1.1	6	A10.L4C	A10.L4C	1.23	1.04	20
7	Supercontig_1.1	6	A11.L11G	A11.L11G	1.40	1.01	20
7	Supercontig_1.1	6	A12.L10B	A12.L10B	1.32	1.11	20
7	Supercontig_1.1	6	A13.L3B	A13.L3B	1.22	1.04	20
7	Supercontig_1.1	6	A14.L4E	A14.L4E	1.22	1.03	20
7	Supercontig_1.1	6	A15.L4G	A15.L4G	1.18	0.99	20
7	Supercontig_1.1	6	A16.L7C	A16.L7C	1.23	1.03	20
7	Supercontig_1.1	6	A17.L1B	A17.L1B	1.22	1.03	20
7	Supercontig_1.1	6	A18.S4H	A18.S4H	1.15	0.95	20
7	Supercontig_1.1	6	A19.S3B	A19.S3B	1.20	1.01	20
7	Supercontig_1.1	6	A2.U10A	A2.U10A	1.21	1.00	20
7	Supercontig_1.1	6	A20.S1E	A20.S1E	1.10	0.91	20
7	Supercontig_1.1	6	A21.S8A	A21.S8A	1.19	0.99	20
7	Supercontig_1.1	6	A22.UpperP	A22.UpperP	1.22	1.04	20
7	Supercontig_1.1	6	A23.LowerP	A23.LowerP	1.25	1.01	20
7	Supercontig_1.1	6	A24.SputuP	A24.SputuP	1.20	0.98	20
7	Supercontig_1.1	6	A3.U3G	A3.U3G	1.30	1.08	20
7	Supercontig_1.1	6	A4.U3B	A4.U3B	1.17	0.98	20
7	Supercontig_1.1	6	A5.U10D	A5.U10D	1.14	0.92	20
7	Supercontig_1.1	6	A6.U5C	A6.U5C	1.19	1.01	20
7	Supercontig_1.1	6	A7.U3E	A7.U3E	1.32	1.11	20
7	Supercontig_1.1	6	A8.U2E	A8.U2E	1.10	0.88	20
7	Supercontig_1.1	6	A9.L3D	A9.L3D	1.30	1.10	20
7	Supercontig_1.1	6	ATCC42720	ATCC42720	1.10	1.11	20
7	Supercontig_1.1	6	B16.1310D	B16.1310D	1.01	0.78	20
7	Supercontig_1.1	6	B17.1311G	B17.1311G	1.08	0.84	20
7	Supercontig_1.1	6	B18.1312G	B18.1312G	1.02	0.80	20
7	Supercontig_1.1	6	B19.1310A	B19.1310A	1.05	0.84	20
7	Supercontig_1.1	6	B20.1311A	B20.1311A	1.13	0.89	20
7	Supercontig_1.1	6	B21.1312A	B21.1312A	1.00	0.80	20
7	Supercontig_1.1	6	B22.134E	B22.134E	1.03	0.83	20
7	Supercontig_1.1	6	B23.133H	B23.133H	1.11	0.89	20
