#LOCUS	LENGTH	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A3.U3G	A4.U3B	A5.U10D	A7.U3E	A8.U2E	A9.L3D	ATCC42720
Copia-58_BG-I_Supercontig_1.3_594511	204	124.79	262.21	176.77	287.85	294.64	279.64	144.76	138.12	133.24	260.86	268.18	146.46	267.22	110.98	123.23	116.87	260.18	229.80	178.13	277.73
Copia-58_BG-I_Supercontig_1.3_664513	196	131.45	231.96	117.15	267.38	245.75	234.93	129.89	132.73	159.63	218.81	215.99	111.80	202.94	90.30	132.41	126.58	234.98	261.56	140.49	204.19
Copia-58_BG-I_Supercontig_1.5_1406659	238	161.77	359.68	180.24	370.85	385.84	295.47	159.13	188.51	190.22	329.78	332.52	180.65	312.89	195.31	186.96	173.89	381.23	387.97	194.50	280.76
Copia-58_BG-I_Supercontig_1.5_678343	131	107.98	276.37	154.62	254.82	234.00	250.02	128.51	118.11	126.58	205.23	288.46	108.02	289.69	131.63	113.01	101.10	221.88	256.72	114.21	257.87
Copia-58_BG-I_Supercontig_1.7_318001	11	91.73	243.27	123.09	216.91	213.27	237.82	127.91	127.45	119.18	222.82	229.27	115.00	246.91	124.18	126.55	156.27	249.55	227.45	137.27	253.18
Copia-58_BG-I_Supercontig_1.7_360941	84	132.93	212.25	107.93	227.54	242.32	243.54	137.60	124.17	146.76	291.52	243.96	122.64	220.75	130.58	130.88	115.07	259.33	187.02	127.25	246.27
Copia-58_BG-I_Supercontig_1.8_662439	94	167.17	409.47	92.48	223.21	224.43	248.32	132.61	95.44	115.55	217.31	247.50	105.72	224.85	134.99	127.74	106.99	248.29	267.63	146.02	367.01
Copia-5_BG-I_Supercontig_1.5_1321440	39	145.54	355.38	143.59	293.56	315.79	295.74	145.64	130.10	187.31	287.05	277.82	165.10	291.51	145.87	155.79	181.38	354.90	287.36	141.49	211.15
Copia-76_MLP-I_Supercontig_1.3_1634335	40	143.07	264.48	144.03	326.98	323.02	293.77	144.95	164.80	156.03	292.05	280.02	128.53	328.05	169.60	106.58	144.70	324.73	299.45	157.35	315.05
DIRS-2_PTrit_Supercontig_1.1_1539296	49	105.45	248.86	105.10	221.29	248.94	235.47	110.98	122.04	130.49	233.71	300.16	125.04	231.92	106.12	141.27	119.33	235.47	241.31	111.51	197.27
DNA3-3_MLP_Supercontig_1.3_1617559	70	144.03	239.03	120.26	281.14	358.44	205.26	117.06	138.76	132.57	253.80	323.56	127.83	293.71	158.11	158.06	171.54	254.84	277.80	131.26	315.97
DNA3-3_MLP_Supercontig_1.4_449630	133	134.04	223.47	132.08	265.70	291.59	225.16	102.95	114.92	136.71	200.75	306.12	127.12	269.85	123.85	128.74	134.59	312.48	209.38	119.44	243.04
DNA3-9_MLP_Supercontig_1.3_224468	72	72.36	184.24	117.49	185.67	222.68	188.39	88.36	102.43	86.86	184.47	155.15	118.35	188.31	90.54	76.72	104.82	185.50	225.53	100.64	242.18
Deceiver-1_MLP_Supercontig_1.8_666582	64	150.22	488.55	104.25	232.22	262.67	236.84	133.72	140.89	126.94	240.98	273.59	110.14	273.97	150.95	160.08	162.31	236.06	290.64	130.19	345.97
EnSpm-1_ROr_Supercontig_1.2_192579	88	136.20	315.10	145.10	329.33	337.93	263.94	155.49	138.93	147.01	306.53	302.60	127.26	283.08	178.82	169.68	170.65	330.74	233.53	180.48	323.40
EnSpm-1_ROr_Supercontig_1.3_503291	83	75.08	195.65	90.89	202.93	187.40	217.98	94.81	99.78	111.55	194.66	195.90	80.81	189.51	71.78	83.11	91.07	164.61	189.17	83.36	158.10
EnSpm-2_PGr_Supercontig_1.1_499174	93	132.83	236.18	152.42	278.00	257.38	236.97	122.98	143.99	90.30	264.65	238.65	98.72	201.34	146.88	148.23	110.23	300.58	230.90	127.26	234.67
EnSpm-2_ROr_Supercontig_1.4_231423	46	132.35	169.98	147.89	253.59	255.37	282.13	136.20	152.46	173.78	259.91	271.39	144.41	293.59	157.74	146.87	168.07	284.57	271.70	147.89	263.96
EnSpm-2_ROr_Supercontig_1.6_459111	120	72.94	188.44	99.91	242.07	186.97	137.03	90.82	108.38	61.91	196.30	487.19	92.63	153.49	77.01	98.44	86.21	174.88	167.94	90.45	161.56
EnSpm-4_PGr_Supercontig_1.5_566165	78	149.13	250.77	125.91	220.05	287.15	290.04	130.82	148.60	94.58	222.62	256.49	117.36	256.35	134.74	156.60	107.63	220.01	228.94	137.88	248.10
GA-rich_Supercontig_1.1_1540478	148	88.92	199.22	117.53	218.95	232.04	250.97	107.26	127.13	110.16	230.66	256.94	116.80	225.39	117.43	114.99	107.95	242.02	239.22	111.55	197.00
GA-rich_Supercontig_1.2_1760764	199	21.58	45.57	24.89	52.10	44.66	46.15	23.80	26.31	27.78	51.95	48.70	23.34	41.09	20.48	30.71	20.68	40.20	45.76	27.85	150.75
GA-rich_Supercontig_1.4_1556123	175	102.07	172.42	82.61	179.93	163.71	176.22	76.45	74.25	85.52	195.97	126.33	84.98	187.82	85.62	75.26	98.65	164.19	169.17	84.53	269.05
GA-rich_Supercontig_1.4_1661215	122	183.10	324.45	163.76	325.22	319.14	291.32	159.86	141.61	151.61	325.21	312.72	179.10	323.34	165.57	150.75	173.84	308.60	338.70	155.23	373.50
GA-rich_Supercontig_1.4_448164	212	124.97	249.01	133.56	255.48	284.33	252.75	134.32	107.35	127.34	254.61	283.21	115.58	227.47	113.75	137.58	127.04	264.06	263.96	139.82	275.31
Ginger2-1_MG_Supercontig_1.1_427546	50	129.94	312.08	156.92	217.76	286.12	270.14	123.68	144.40	113.10	236.66	221.92	106.78	238.88	121.98	114.46	118.76	294.98	236.46	124.04	223.20
Gypsy-106_MLP-I_Supercontig_1.8_148729	71	161.92	637.86	143.15	353.34	308.25	303.14	145.06	155.89	132.04	302.63	354.03	185.93	340.63	161.21	172.54	142.46	313.24	338.01	140.65	255.56
Gypsy-10_CCO-I_Supercontig_1.1_485487	45	138.38	259.64	158.00	330.09	300.22	297.53	126.24	176.31	142.00	244.42	271.33	156.20	275.44	156.40	112.00	126.07	284.51	268.02	130.96	291.22
Gypsy-10_CCO-I_Supercontig_1.2_1747591	67	83.87	206.34	90.85	160.54	201.94	190.87	97.76	79.16	75.61	209.45	202.58	74.48	184.87	83.67	86.72	87.82	192.57	176.31	126.16	179.07
Gypsy-10_LBS-I_Supercontig_1.1_1736371	48	118.44	290.02	150.75	230.96	283.17	295.15	137.44	138.81	129.29	255.29	244.96	146.94	214.38	116.29	151.96	131.98	248.71	300.73	127.40	242.96
Gypsy-10_LBS-LTR_Supercontig_1.1_697052	38	109.03	236.50	114.00	242.97	215.08	218.92	113.29	123.79	121.16	206.71	204.97	131.37	194.29	127.16	100.37	88.82	239.29	165.55	118.53	219.08
Gypsy-10_MLP-I_Supercontig_1.5_347798	64	148.03	320.53	148.14	304.38	356.48	272.62	142.17	156.30	131.53	288.73	258.92	153.55	313.20	147.09	143.12	155.55	344.22	302.08	164.33	278.88
Gypsy-10_RO-I_Supercontig_1.2_874982	50	129.94	254.96	135.70	279.02	303.14	270.06	130.94	109.50	154.44	252.56	278.64	137.04	249.58	135.78	103.30	106.88	220.26	250.78	118.74	268.36
Gypsy-112_MLP-I_Supercontig_1.1_1054903	35	122.86	203.26	123.31	268.97	286.71	255.94	168.91	129.29	135.26	227.80	221.49	127.29	257.31	91.97	145.74	99.37	264.49	258.49	111.77	250.91
Gypsy-11_MLP-I_Supercontig_1.1_1726742	70	116.41	236.89	104.79	258.29	233.29	283.96	126.76	122.51	106.93	247.73	237.73	114.54	220.80	131.49	118.19	107.73	222.30	210.91	117.47	222.77
Gypsy-13_ADe-I_Supercontig_1.6_26591	68	136.82	274.03	114.94	230.54	228.60	250.46	117.85	155.41	115.75	253.40	502.57	130.50	213.04	152.74	118.90	116.22	264.93	259.24	114.53	249.68
Gypsy-15_LBS-I_Supercontig_1.8_120195	44	148.91	537.50	142.30	255.25	287.00	276.52	135.70	152.89	139.89	271.20	274.68	124.98	264.43	162.66	153.34	122.00	279.07	346.52	124.39	233.11
Gypsy-15_PTrit-I_Supercontig_1.2_1008871	52	129.00	261.37	118.00	269.21	269.33	257.33	158.37	127.00	164.60	255.46	251.21	124.77	250.13	113.42	128.71	117.44	283.02	222.35	122.87	267.96
Gypsy-15_PTrit-I_Supercontig_1.2_630039	52	125.85	257.63	126.54	316.23	298.65	299.81	141.60	109.77	109.48	255.31	274.25	129.92	264.75	138.00	146.62	167.27	263.71	242.65	125.35	258.08
Gypsy-15_PTrit-I_Supercontig_1.3_1542623	52	136.88	299.31	159.33	369.25	266.17	284.40	166.17	120.56	152.62	353.37	331.62	192.73	362.31	152.19	149.94	147.81	227.19	313.67	129.79	288.00
Gypsy-15_PTrit-I_Supercontig_1.3_423324	52	124.17	160.75	88.56	182.54	172.62	153.79	91.44	84.33	113.42	171.56	184.65	102.35	207.63	81.40	96.19	77.02	199.58	192.31	89.10	178.83
Gypsy-15_PTrit-I_Supercontig_1.4_153359	52	171.21	286.60	156.69	304.02	300.00	296.92	148.60	148.31	179.42	344.62	285.81	166.87	339.67	168.58	170.52	176.62	321.19	410.33	182.21	317.48
Gypsy-15_PTrit-I_Supercontig_1.4_938207	52	94.40	264.73	116.65	237.67	258.73	247.52	138.62	144.50	102.58	218.54	274.46	108.42	186.50	110.88	117.77	86.46	263.87	218.63	106.94	194.38
Gypsy-16_MLP-I_Supercontig_1.4_135558	144	162.30	315.10	151.42	331.99	258.41	291.32	168.54	179.75	147.99	297.69	362.65	151.01	352.09	196.97	171.80	157.48	327.49	335.25	172.51	314.56
Gypsy-17_PTrit-I_Supercontig_1.2_1158332	37	105.84	227.35	119.03	230.78	220.73	282.95	142.81	118.70	119.24	210.84	194.16	118.24	194.73	97.57	129.89	106.35	224.16	198.14	142.32	234.57
Gypsy-19_SCH-I_Supercontig_1.7_175599	66	151.64	262.64	139.68	264.76	243.86	241.58	152.53	133.71	133.97	293.06	243.02	132.44	294.20	118.86	146.88	87.05	228.42	250.35	142.64	271.85
Gypsy-1_ARO-I_Supercontig_1.1_902056	70	76.24	155.34	78.24	168.57	149.06	221.16	82.29	86.51	70.79	155.76	169.23	72.71	155.10	60.27	73.13	64.44	178.33	141.06	74.16	230.17
Gypsy-1_BG-I_Supercontig_1.4_1589895	44	122.16	346.93	128.20	328.55	291.84	245.39	154.75	160.27	134.20	305.34	282.11	121.66	328.20	206.61	158.27	175.16	330.48	299.34	154.75	355.18
Gypsy-1_PCR-I_Supercontig_1.3_1522053	35	83.46	114.97	73.49	155.46	156.20	142.66	67.66	76.09	68.14	164.20	159.31	87.20	186.60	68.94	60.74	89.46	145.63	176.14	55.37	176.66
Gypsy-24_LBS-I_Supercontig_1.4_1032090	57	128.16	246.09	105.39	271.44	242.70	253.77	126.07	118.11	134.53	225.84	235.33	100.84	267.42	117.00	144.98	113.35	240.21	221.95	127.46	199.88
Gypsy-25_MLP-I_Supercontig_1.6_61026	30	167.93	365.30	149.57	324.37	374.40	299.80	121.20	189.43	166.67	318.77	637.07	184.67	294.90	141.03	175.47	192.87	316.93	353.87	162.30	362.80
Gypsy-25_PGr-I_Supercontig_1.2_1596609	47	106.19	240.62	96.49	234.43	335.51	289.36	121.66	119.13	112.36	278.79	227.87	117.68	207.62	108.02	122.53	121.81	283.91	265.79	131.79	225.70
Gypsy-29_ADe-I_Supercontig_1.7_192179	40	80.78	199.38	96.40	259.20	148.10	218.78	119.35	128.38	112.40	190.72	254.75	98.03	212.45	118.17	120.17	142.03	217.82	222.03	106.85	279.18
Gypsy-2_CCO-I_Supercontig_1.2_641226	41	135.90	212.10	93.10	264.41	249.80	210.39	127.32	145.49	111.20	217.93	238.88	122.85	248.22	110.07	117.39	86.85	221.66	231.59	104.59	192.76
Gypsy-30_ADe-I_Supercontig_1.4_960092	41	125.24	230.66	166.20	253.22	246.46	259.00	139.59	116.32	114.05	210.95	277.05	116.83	234.95	116.78	123.02	123.83	253.54	230.10	142.02	184.17
Gypsy-31_ADe-I_Supercontig_1.5_575581	67	112.45	186.90	108.55	198.63	285.82	260.21	125.85	116.55	110.09	232.96	213.70	105.46	236.85	96.88	132.07	104.00	221.51	208.82	134.69	199.88
Gypsy-33_ADe-I_Supercontig_1.4_101392	41	155.07	262.15	122.37	333.63	247.15	214.78	142.49	126.80	162.20	272.73	272.73	137.61	352.27	186.93	170.51	153.00	251.61	248.71	122.93	330.59
Gypsy-3_AM-I_Supercontig_1.1_1868405	116	139.47	276.60	119.84	264.22	297.98	265.21	134.53	152.52	130.70	269.21	249.84	143.92	308.97	119.53	133.78	136.01	294.46	269.25	117.76	255.07
Gypsy-3_AM-I_Supercontig_1.4_427046	52	137.75	172.19	148.42	218.10	244.73	275.52	129.37	107.19	129.19	227.35	220.12	103.60	240.98	109.58	135.60	117.06	230.27	225.04	115.85	226.06
Gypsy-3_BG-I_Supercontig_1.4_437982	70	124.11	222.83	117.59	229.46	231.13	240.00	112.29	106.46	130.91	227.46	243.41	111.34	291.73	121.04	109.23	119.76	329.20	242.83	134.44	279.76
Gypsy-3_BG-I_Supercontig_1.5_796665	66	105.18	176.50	90.39	215.86	300.33	244.61	99.44	102.45	108.86	246.05	285.86	123.18	225.73	78.48	98.67	112.98	202.06	256.45	93.21	220.36
Gypsy-3_BG-I_Supercontig_1.6_367049	83	33.51	62.82	20.52	49.69	60.40	77.57	36.01	19.25	25.35	81.95	127.45	27.76	62.81	26.69	31.95	24.82	54.76	62.11	30.51	157.63
Gypsy-3_BG-I_Supercontig_1.8_91571	134	92.92	300.86	66.22	180.45	193.23	106.66	55.93	95.56	78.90	170.94	191.87	80.43	180.28	80.19	78.93	72.31	190.70	184.37	80.73	203.07
Gypsy-3_BG-I_Supercontig_1.8_92025	234	133.45	494.54	130.93	299.36	284.34	212.67	123.67	162.29	155.09	281.17	284.64	137.91	314.83	130.69	136.00	152.85	280.30	278.03	148.88	282.66
Gypsy-3_CCO-I_Supercontig_1.3_1003332	41	133.22	187.83	137.93	246.29	234.41	280.34	124.15	118.66	103.54	253.05	228.59	145.27	256.00	94.15	91.56	92.59	207.27	257.44	116.00	187.61
Gypsy-3_TMe-I_Supercontig_1.3_1727457	295	131.70	233.47	139.47	293.31	304.22	251.05	127.80	142.21	145.20	353.39	303.98	139.02	322.41	129.62	113.13	169.63	283.64	289.65	126.49	376.47
Gypsy-40_BG-I_Supercontig_1.2_1895154	62	108.52	174.31	87.77	243.50	213.79	207.94	127.48	118.03	114.90	168.84	220.16	116.58	207.50	117.23	101.56	86.11	221.89	152.61	123.84	286.69
Gypsy-41_MLP-I_Supercontig_1.2_1238117	65	100.03	170.65	127.28	200.68	252.32	198.09	122.20	100.80	108.57	195.52	231.55	92.54	267.31	99.45	109.69	105.98	270.25	221.78	95.09	251.63
Gypsy-43_BG-I_Supercontig_1.1_799474	50	104.22	181.16	100.64	152.86	172.82	230.48	144.24	102.52	71.62	205.92	201.46	83.66	202.64	115.18	113.80	82.04	224.24	161.60	93.02	173.44
Gypsy-44_MLP-I_Supercontig_1.2_1129231	73	117.77	211.42	163.64	198.93	238.84	220.90	113.36	159.12	96.63	237.49	200.16	98.52	235.12	78.93	106.75	110.60	229.59	276.51	98.85	217.67
Gypsy-44_MLP-I_Supercontig_1.2_1134730	52	112.73	201.67	101.46	246.50	198.60	208.92	110.25	104.23	118.50	211.81	185.98	119.42	180.44	102.40	104.37	95.33	211.35	228.42	115.71	175.92
Gypsy-4_CPu-I_Supercontig_1.8_186888	84	184.98	523.07	194.23	312.82	279.13	255.63	144.32	129.49	186.60	266.06	302.96	174.50	278.82	148.20	180.49	163.18	292.82	286.82	151.94	269.83
Gypsy-4_LBS-I_Supercontig_1.6_29265	80	220.84	400.57	224.81	399.70	380.48	393.82	189.22	192.34	192.93	427.88	816.08	228.75	411.80	237.66	174.95	194.90	426.38	396.98	248.49	383.36
Gypsy-57_MLP-I_Supercontig_1.6_377417	67	130.04	166.72	109.34	186.03	184.99	233.76	148.25	116.00	111.39	226.97	597.43	123.60	186.58	137.21	107.33	100.94	222.58	237.00	104.61	223.27
Gypsy-5_CPu-I_Supercontig_1.1_313214	40	162.35	318.12	139.32	323.50	283.23	266.57	169.55	149.55	126.95	293.30	219.85	125.00	298.07	155.82	113.17	152.43	298.90	244.55	143.20	361.50
Gypsy-5_CPu-I_Supercontig_1.3_1695628	47	166.40	234.74	153.66	249.70	323.09	320.23	159.70	175.62	139.06	311.47	277.23	157.53	345.26	139.34	134.55	175.30	289.34	264.49	153.79	333.06
Gypsy-5_SLL-I_Supercontig_1.2_1675400	66	0.00	0.00	0.33	0.00	0.00	0.50	0.44	0.00	0.33	0.17	0.67	0.00	0.17	0.00	0.67	0.00	0.50	0.33	0.00	204.56
Gypsy-62_BG-LTR_Supercontig_1.1_695748	118	87.06	216.08	109.81	251.92	202.88	172.54	137.55	105.14	112.82	217.52	228.10	114.09	206.47	95.18	109.54	98.71	196.23	215.16	117.54	241.86
