# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_00019	CLUG_00019	CLUT_00019T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00020	CLUG_00020	CLUT_00020T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00021	CLUG_00021	CLUT_00021T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00022	CLUG_00022	CLUT_00022T0	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
CLUG_00023	CLUG_00023	CLUT_00023T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00024	CLUG_00024	CLUT_00024T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00025	CLUG_00025	CLUT_00025T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00026	CLUG_00026	CLUT_00026T0	protein_coding	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00027	CLUG_00027	CLUT_00027T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00028	CLUG_00028	CLUT_00028T0	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
CLUG_00029	CLUG_00029	CLUT_00029T0	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
CLUG_00030	CLUG_00030	CLUT_00030T0	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
CLUG_00031	CLUG_00031	CLUT_00031T0	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CLUG_00032	CLUG_00032	CLUT_00032T0	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
CLUG_00033	CLUG_00033	CLUT_00033T0	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CLUG_00034	CLUG_00034	CLUT_00034T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00035	CLUG_00035	CLUT_00035T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00036	CLUG_00036	CLUT_00036T0	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
CLUG_00037	CLUG_00037	CLUT_00037T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00038	CLUG_00038	CLUT_00038T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00039	CLUG_00039	CLUT_00039T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00040	CLUG_00040	CLUT_00040T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00041	CLUG_00041	CLUT_00041T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00043	CLUG_00043	CLUT_00043T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00044	CLUG_00044	CLUT_00044T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00045	CLUG_00045	CLUT_00045T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00046	CLUG_00046	CLUT_00046T0	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
CLUG_00047	CLUG_00047	CLUT_00047T0	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
CLUG_00048	CLUG_00048	CLUT_00048T0	protein_coding	1	0	0	6	0	0	0	0	3	1	0	0	0	0	1	0	0	0	3
CLUG_00049	CLUG_00049	CLUT_00049T0	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CLUG_00050	CLUG_00050	CLUT_00050T0	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00051	CLUG_00051	CLUT_00051T0	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
CLUG_00052	CLUG_00052	CLUT_00052T0	protein_coding	0	0	1	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2
CLUG_00053	CLUG_00053	CLUT_00053T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00054	CLUG_00054	CLUT_00054T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00055	CLUG_00055	CLUT_00055T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00059	CLUG_00059	CLUT_00059T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00060	CLUG_00060	CLUT_00060T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00061	CLUG_00061	CLUT_00061T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00062	CLUG_00062	CLUT_00062T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00063	CLUG_00063	CLUT_00063T0	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
CLUG_00064	CLUG_00064	CLUT_00064T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00065	CLUG_00065	CLUT_00065T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00066	CLUG_00066	CLUT_00066T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00067	CLUG_00067	CLUT_00067T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00068	CLUG_00068	CLUT_00068T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00069	CLUG_00069	CLUT_00069T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00070	CLUG_00070	CLUT_00070T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00071	CLUG_00071	CLUT_00071T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00072	CLUG_00072	CLUT_00072T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00073	CLUG_00073	CLUT_00073T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00074	CLUG_00074	CLUT_00074T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00075	CLUG_00075	CLUT_00075T0	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLUG_00076	CLUG_00076	CLUT_00076T0	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLUG_00077	CLUG_00077	CLUT_00077T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00088	CLUG_00088	CLUT_00088T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00089	CLUG_00089	CLUT_00089T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00090	CLUG_00090	CLUT_00090T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00091	CLUG_00091	CLUT_00091T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00092	CLUG_00092	CLUT_00092T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00093	CLUG_00093	CLUT_00093T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00094	CLUG_00094	CLUT_00094T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00095	CLUG_00095	CLUT_00095T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00096	CLUG_00096	CLUT_00096T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00102	CLUG_00102	CLUT_00102T0	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
CLUG_00103	CLUG_00103	CLUT_00103T0	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
CLUG_00104	CLUG_00104	CLUT_00104T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_00105	CLUG_00105	CLUT_00105T0	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
CLUG_00106	CLUG_00106	CLUT_00106T0	protein_coding	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5
CLUG_00107	CLUG_00107	CLUT_00107T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00108	CLUG_00108	CLUT_00108T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00128	CLUG_00128	CLUT_00128T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00129	CLUG_00129	CLUT_00129T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00130	CLUG_00130	CLUT_00130T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00131	CLUG_00131	CLUT_00131T0	protein_coding	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CLUG_00132	CLUG_00132	CLUT_00132T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00133	CLUG_00133	CLUT_00133T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00134	CLUG_00134	CLUT_00134T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00135	CLUG_00135	CLUT_00135T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00143	CLUG_00143	CLUT_00143T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00144	CLUG_00144	CLUT_00144T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00145	CLUG_00145	CLUT_00145T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00146	CLUG_00146	CLUT_00146T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00147	CLUG_00147	CLUT_00147T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00148	CLUG_00148	CLUT_00148T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00149	CLUG_00149	CLUT_00149T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00176	CLUG_00176	CLUT_00176T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00177	CLUG_00177	CLUT_00177T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00178	CLUG_00178	CLUT_00178T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00179	CLUG_00179	CLUT_00179T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00180	CLUG_00180	CLUT_00180T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00181	CLUG_00181	CLUT_00181T0	protein_coding	0	0	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
CLUG_00182	CLUG_00182	CLUT_00182T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00183	CLUG_00183	CLUT_00183T0	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
CLUG_00184	CLUG_00184	CLUT_00184T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00185	CLUG_00185	CLUT_00185T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00186	CLUG_00186	CLUT_00186T0	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CLUG_00187	CLUG_00187	CLUT_00187T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00188	CLUG_00188	CLUT_00188T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00189	CLUG_00189	CLUT_00189T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00190	CLUG_00190	CLUT_00190T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00191	CLUG_00191	CLUT_00191T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00192	CLUG_00192	CLUT_00192T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00193	CLUG_00193	CLUT_00193T0	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
CLUG_00194	CLUG_00194	CLUT_00194T0	protein_coding	1	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4
CLUG_00195	CLUG_00195	CLUT_00195T0	protein_coding	2	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2
CLUG_00196	CLUG_00196	CLUT_00196T0	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
CLUG_00197	CLUG_00197	CLUT_00197T0	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLUG_00198	CLUG_00198	CLUT_00198T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00199	CLUG_00199	CLUT_00199T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00201	CLUG_00201	CLUT_00201T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00202	CLUG_00202	CLUT_00202T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00203	CLUG_00203	CLUT_00203T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00204	CLUG_00204	CLUT_00204T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00205	CLUG_00205	CLUT_00205T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00206	CLUG_00206	CLUT_00206T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00207	CLUG_00207	CLUT_00207T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00208	CLUG_00208	CLUT_00208T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00209	CLUG_00209	CLUT_00209T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00210	CLUG_00210	CLUT_00210T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00211	CLUG_00211	CLUT_00211T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00212	CLUG_00212	CLUT_00212T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00213	CLUG_00213	CLUT_00213T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00214	CLUG_00214	CLUT_00214T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00215	CLUG_00215	CLUT_00215T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00216	CLUG_00216	CLUT_00216T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00217	CLUG_00217	CLUT_00217T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00235	CLUG_00235	CLUT_00235T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00236	CLUG_00236	CLUT_00236T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00237	CLUG_00237	CLUT_00237T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00238	CLUG_00238	CLUT_00238T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00239	CLUG_00239	CLUT_00239T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00240	CLUG_00240	CLUT_00240T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00241	CLUG_00241	CLUT_00241T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00242	CLUG_00242	CLUT_00242T0	protein_coding	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00243	CLUG_00243	CLUT_00243T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00244	CLUG_00244	CLUT_00244T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00249	CLUG_00249	CLUT_00249T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00250	CLUG_00250	CLUT_00250T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00251	CLUG_00251	CLUT_00251T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00252	CLUG_00252	CLUT_00252T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00253	CLUG_00253	CLUT_00253T0	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
CLUG_00254	CLUG_00254	CLUT_00254T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00255	CLUG_00255	CLUT_00255T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00287	CLUG_00287	CLUT_00287T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00288	CLUG_00288	CLUT_00288T0	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00289	CLUG_00289	CLUT_00289T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00290	CLUG_00290	CLUT_00290T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00291	CLUG_00291	CLUT_00291T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00292	CLUG_00292	CLUT_00292T0	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00293	CLUG_00293	CLUT_00293T0	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
CLUG_00294	CLUG_00294	CLUT_00294T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00295	CLUG_00295	CLUT_00295T0	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00296	CLUG_00296	CLUT_00296T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00297	CLUG_00297	CLUT_00297T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00298	CLUG_00298	CLUT_00298T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00299	CLUG_00299	CLUT_00299T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00300	CLUG_00300	CLUT_00300T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00301	CLUG_00301	CLUT_00301T0	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00302	CLUG_00302	CLUT_00302T0	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00303	CLUG_00303	CLUT_00303T0	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00304	CLUG_00304	CLUT_00304T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00305	CLUG_00305	CLUT_00305T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00307	CLUG_00307	CLUT_00307T0	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00308	CLUG_00308	CLUT_00308T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00309	CLUG_00309	CLUT_00309T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00310	CLUG_00310	CLUT_00310T0	protein_coding	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00311	CLUG_00311	CLUT_00311T0	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00312	CLUG_00312	CLUT_00312T0	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
CLUG_00313	CLUG_00313	CLUT_00313T0	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CLUG_00314	CLUG_00314	CLUT_00314T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_00315	CLUG_00315	CLUT_00315T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00317	CLUG_00317	CLUT_00317T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00318	CLUG_00318	CLUT_00318T0	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00319	CLUG_00319	CLUT_00319T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00320	CLUG_00320	CLUT_00320T0	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
