GENE	POSITION	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_00011	18010	139.67	184.36	151.50	137.51	132.80	168.07	148.29	91.44	115.05	254.26	182.80	97.47	134.88	307.06	434.96	105.77	131.51	108.27	106.74	592.67	236.70	144.04	159.44	229.40	274.80	372.42	314.83	328.03	376.46	268.19	269.51	302.31	268.40	226.67	282.07	300.72	211.62	225.89	280.21	269.63	539.87	345.83	537.09	449.85	282.90	355.40	336.60	338.70	410.01	299.35	305.77	277.84	320.75	323.23	308.57
CLUG_00012	19812	140.37	182.03	151.42	138.31	130.53	178.75	148.68	99.04	113.15	257.14	167.25	92.87	142.89	309.71	459.45	117.39	131.85	103.82	101.30	630.22	244.58	139.40	159.56	231.30	250.21	350.00	318.29	337.01	360.31	251.13	259.94	300.08	269.76	223.11	277.56	278.03	188.33	203.47	273.86	251.54	508.63	333.48	539.11	442.48	274.75	360.58	303.33	323.98	406.33	282.95	294.67	265.19	319.47	307.93	302.53
CLUG_00013	21332	147.23	200.07	157.04	140.15	146.14	175.28	149.10	101.84	114.72	263.04	185.34	108.74	145.97	334.39	475.46	111.72	135.08	112.60	102.97	664.58	248.36	150.98	159.23	251.45	269.76	357.87	334.33	329.43	377.25	265.49	278.24	314.59	282.10	228.42	295.50	311.35	204.36	216.91	298.65	262.92	540.64	355.23	557.20	442.58	291.23	355.73	321.94	336.75	406.30	305.99	291.49	272.17	328.43	338.79	315.57
CLUG_00014	22958	142.30	213.25	163.54	149.78	135.92	167.28	143.57	105.68	117.94	258.30	188.72	101.14	155.74	315.62	471.15	122.66	143.10	98.52	110.02	641.55	253.45	137.41	158.20	226.01	262.06	379.96	331.22	344.26	381.74	262.10	267.25	311.24	277.81	225.91	284.90	306.56	227.46	241.03	265.84	263.50	539.52	343.35	524.44	455.02	288.06	359.10	324.59	335.57	391.11	304.08	311.87	274.66	336.71	327.56	311.81
CLUG_00015	24260	130.25	190.21	149.42	136.69	131.62	158.04	145.21	96.57	116.89	247.27	173.16	101.87	148.64	315.95	449.32	113.70	118.56	104.31	103.12	592.26	231.60	148.07	160.70	230.72	264.41	366.59	319.05	318.96	379.11	265.60	267.94	303.28	284.58	217.59	301.46	301.54	220.51	248.61	287.11	261.24	516.21	339.34	540.19	443.72	276.56	350.27	319.81	327.87	390.72	298.09	292.78	268.10	321.55	311.90	300.49
CLUG_00016	26120	141.90	198.25	146.56	153.69	156.51	177.70	148.43	104.04	124.75	277.52	185.95	112.31	135.68	324.58	461.18	122.19	136.47	108.84	111.88	647.47	246.28	154.29	157.05	249.73	286.14	392.19	349.76	354.14	395.28	285.08	263.99	318.89	295.63	248.64	294.57	306.66	235.24	244.51	285.92	271.60	543.68	363.01	557.47	465.64	300.84	385.91	342.82	348.40	408.51	309.31	327.71	290.79	336.73	338.63	328.87
CLUG_00017	27222	150.69	186.04	146.52	140.34	139.01	180.98	151.32	101.85	106.90	245.09	176.60	99.48	144.45	306.24	466.35	126.52	142.74	106.73	111.74	629.23	244.52	142.44	163.70	246.05	290.27	366.25	316.58	341.88	370.23	275.45	272.18	319.75	280.17	229.08	284.50	311.78	194.03	243.07	290.55	258.42	526.67	365.52	546.36	442.13	279.82	361.22	335.68	327.27	385.10	294.98	307.73	278.44	325.36	324.58	303.53
CLUG_00018	28494	134.41	183.87	148.22	140.17	127.14	156.14	127.70	99.23	115.18	242.32	172.34	94.32	136.21	290.34	434.05	108.39	126.48	114.56	94.61	594.79	223.39	134.74	152.76	219.21	261.49	373.98	332.67	317.84	355.23	263.42	266.78	296.90	287.78	232.03	278.95	307.80	206.06	220.56	275.62	256.35	500.99	329.74	519.64	425.09	277.25	346.90	314.20	322.81	405.29	294.95	309.23	278.36	330.14	320.78	290.56
CLUG_00019	30601	131.92	186.91	142.73	140.37	139.00	152.04	135.03	90.11	119.00	247.02	163.19	102.62	142.40	312.10	423.58	111.32	129.48	105.76	99.13	592.34	226.91	138.89	156.43	225.47	280.79	373.12	331.45	327.65	366.98	266.63	287.60	311.96	291.04	245.60	289.16	312.88	231.77	267.24	284.44	271.49	541.97	347.06	524.64	457.36	286.94	370.13	337.63	331.30	403.20	296.63	303.35	283.26	332.10	327.94	308.00
CLUG_00020	32233	138.62	188.69	149.66	145.91	140.22	152.88	141.88	100.48	116.12	247.04	176.89	99.03	146.05	295.25	435.09	110.53	126.64	116.05	101.60	592.79	227.45	142.79	155.39	242.19	283.74	374.37	342.14	344.37	340.93	269.67	267.63	318.57	280.09	240.05	283.69	320.48	245.36	273.24	276.72	254.39	535.35	362.72	507.50	456.94	297.22	360.64	333.71	326.48	397.09	313.02	293.17	294.60	326.03	332.11	315.22
CLUG_00021	33362	132.17	196.61	130.96	137.70	129.14	153.34	132.60	102.54	109.73	236.41	185.89	92.62	131.31	302.65	416.96	111.49	124.21	102.00	107.22	570.09	215.18	144.13	153.66	228.62	263.92	366.79	328.43	328.30	364.86	249.12	263.64	314.41	281.60	233.75	285.82	316.80	225.32	253.37	274.56	240.30	539.66	343.44	537.75	446.60	274.14	333.75	333.47	332.39	387.68	298.13	285.95	297.83	318.16	330.17	306.37
CLUG_00022	33909	128.45	206.06	132.69	143.93	130.43	168.31	140.20	92.97	114.33	237.55	163.18	89.12	134.51	285.58	420.34	102.45	121.00	102.57	94.71	592.94	224.32	135.27	155.47	211.86	286.09	366.53	347.44	337.50	366.55	262.76	271.82	311.05	277.03	217.68	291.38	303.21	212.64	227.47	267.09	258.00	499.73	340.95	543.69	432.92	303.65	359.48	320.51	342.38	401.57	280.98	299.23	271.99	319.18	331.25	321.46
CLUG_00023	35244	119.91	168.93	136.78	134.31	129.39	146.26	139.14	87.17	104.39	250.15	183.30	96.38	138.72	315.62	409.55	98.03	121.17	95.70	106.11	583.19	207.46	129.90	152.85	229.19	267.17	347.53	333.59	312.56	382.74	260.52	275.12	303.91	298.84	244.92	285.20	327.93	247.06	253.67	295.89	256.33	520.36	332.51	514.88	430.49	285.13	335.62	334.66	312.89	405.47	284.01	289.97	294.06	330.13	351.81	309.89
CLUG_00024	35948	128.08	193.23	125.89	141.50	137.20	150.27	138.92	93.94	110.15	243.65	165.95	99.80	124.44	309.28	433.67	104.56	120.94	101.25	98.09	586.41	210.33	135.07	148.56	239.89	283.45	355.43	340.47	315.51	379.47	296.26	265.42	309.69	293.38	232.21	278.62	309.62	241.96	269.00	272.96	243.91	520.26	329.11	498.81	436.19	278.70	357.65	329.50	333.38	377.99	287.48	290.24	299.80	332.09	332.91	311.39
CLUG_00025	37855	147.76	198.77	158.92	154.42	141.63	167.86	158.22	108.35	114.26	272.15	182.51	119.96	150.55	338.30	478.26	123.04	141.54	120.34	105.86	644.00	251.05	164.93	177.26	249.40	305.18	389.47	352.30	346.16	405.78	295.74	289.04	322.46	314.76	252.13	308.24	317.03	231.78	240.00	315.14	279.40	543.80	372.11	549.05	468.34	309.19	369.73	347.11	355.96	409.66	311.41	326.12	291.98	359.25	346.61	323.52
CLUG_00026	39390	148.58	191.40	147.09	151.39	142.25	156.66	144.65	109.78	121.74	263.19	176.34	112.65	146.83	327.70	465.14	122.75	144.54	116.55	109.88	627.01	237.67	151.92	161.83	235.01	302.76	377.94	353.05	356.35	377.56	298.18	304.01	330.42	310.81	250.64	297.23	322.79	239.79	253.24	295.84	274.90	547.95	381.56	556.75	451.57	306.88	372.91	340.76	345.29	414.70	309.30	320.40	299.81	351.02	351.09	313.00
CLUG_00027	46451	90.77	122.18	93.28	99.36	92.48	108.59	83.67	68.68	79.99	168.16	107.94	62.32	97.98	218.81	299.22	83.12	84.96	73.01	66.01	396.28	150.00	101.62	102.39	241.66	196.09	258.91	239.66	246.24	251.11	191.94	185.36	221.93	204.00	160.13	194.79	215.19	148.67	165.28	290.57	284.70	531.38	373.88	560.79	445.53	199.53	249.52	330.49	356.14	405.24	302.17	310.31	308.93	235.05	213.63	315.83
CLUG_00028	49448	136.64	184.20	145.04	156.79	147.02	149.86	138.08	114.56	128.03	273.76	174.36	101.69	157.83	307.36	466.93	129.42	130.69	106.82	99.83	617.94	231.68	161.51	161.39	242.89	307.21	362.57	352.27	351.38	371.16	288.36	287.82	324.44	294.06	254.13	305.39	325.50	215.33	238.84	287.58	260.02	502.40	361.59	506.54	428.57	303.60	363.07	314.27	337.95	412.16	324.41	309.27	282.69	330.39	350.46	319.65
CLUG_00029	51090	141.04	186.12	146.12	148.90	147.18	148.66	120.51	102.88	122.63	250.94	161.54	97.18	152.34	309.30	457.15	121.58	128.29	111.93	110.13	595.87	228.05	147.04	154.51	232.19	301.54	372.48	346.01	355.18	372.31	293.51	289.26	338.68	292.32	252.31	294.58	338.21	225.32	230.73	285.64	260.72	537.35	369.39	525.24	447.43	304.27	370.50	346.95	355.88	410.48	299.32	306.85	294.00	342.47	330.54	326.25
CLUG_00030	53513	123.80	182.63	134.67	145.73	131.51	140.87	118.78	96.01	115.65	229.53	152.03	102.71	127.23	302.05	443.43	109.31	119.85	118.31	107.00	589.87	198.49	136.33	143.64	221.02	294.96	366.62	347.15	340.22	383.85	274.41	272.80	319.27	283.35	234.32	298.04	304.55	224.15	231.50	278.92	254.44	523.57	362.41	496.18	434.02	314.81	349.45	338.62	337.28	395.57	311.52	305.40	309.56	343.66	343.72	310.13
CLUG_00031	55204	117.40	156.75	139.90	155.50	133.00	119.36	92.80	98.40	110.04	232.70	131.71	93.38	132.23	287.05	394.80	96.93	116.08	106.57	109.54	495.56	193.17	125.77	140.53	164.46	239.90	342.77	316.09	322.54	322.96	246.09	256.38	276.60	266.89	185.88	296.14	279.82	216.49	187.17	267.94	220.03	423.79	348.18	467.81	379.52	260.15	328.26	288.39	291.28	366.87	261.32	260.10	258.46	282.57	297.24	265.47
CLUG_00032	57033	99.19	140.79	109.44	113.18	113.91	112.35	94.14	79.39	93.78	193.01	124.44	78.51	112.17	223.04	294.80	80.05	94.22	87.18	81.61	437.29	170.56	106.74	113.48	163.09	249.96	317.05	296.90	310.33	323.08	263.13	258.53	279.96	250.65	205.03	278.19	284.84	250.24	279.56	258.02	231.98	472.46	319.16	464.33	387.02	269.57	320.57	311.15	296.39	339.95	261.36	266.19	254.50	305.84	299.77	295.93
CLUG_00033	58955	101.99	169.23	124.26	149.15	126.38	139.39	117.23	84.55	109.30	226.27	145.45	96.73	127.74	256.41	400.37	90.49	110.35	100.62	84.52	523.87	196.29	135.68	127.04	215.67	268.97	357.63	322.03	302.22	315.85	255.76	268.29	288.73	284.67	209.09	279.35	288.42	225.53	211.18	265.61	245.59	449.45	329.13	463.56	393.59	282.49	339.70	307.46	300.39	379.67	268.93	274.66	270.83	325.12	315.27	278.49
CLUG_00034	59720	125.37	166.63	127.31	141.62	136.82	141.52	115.97	90.61	119.65	245.86	151.06	99.31	136.58	284.46	407.73	108.19	120.38	110.72	96.53	565.59	203.17	133.33	146.28	203.23	285.63	351.73	333.75	346.65	344.15	270.31	277.77	307.90	288.07	247.06	296.97	315.95	214.34	233.43	267.04	251.58	484.65	346.68	479.35	409.26	291.09	340.99	308.85	327.00	378.23	280.90	301.10	276.24	334.98	326.23	303.08
CLUG_00035	62254	128.07	180.88	134.61	150.08	139.76	145.49	116.21	103.85	122.06	252.02	160.44	108.21	147.20	301.95	452.39	117.04	125.67	107.36	107.19	577.61	222.48	143.28	147.54	222.47	298.48	367.76	336.98	347.33	357.81	288.28	284.95	315.04	307.84	245.48	305.65	326.86	218.81	227.15	288.05	265.62	496.97	371.10	519.29	417.85	309.73	360.29	326.13	334.55	392.27	297.50	308.23	295.20	345.08	337.55	315.41
CLUG_00036	65219	139.89	179.22	137.77	148.40	143.41	143.45	123.18	101.11	126.16	250.36	163.79	104.26	147.38	311.39	444.79	122.58	128.13	115.38	105.97	587.45	218.33	146.83	150.33	229.15	296.95	367.61	338.87	345.46	356.65	292.63	288.27	320.25	303.08	250.77	309.19	323.52	215.47	218.99	278.64	260.94	479.17	367.27	502.48	422.46	305.11	351.82	316.12	337.01	386.65	281.25	290.83	290.04	335.31	333.50	307.89
CLUG_00037	71277	128.34	162.97	122.71	139.84	133.59	134.78	104.74	93.84	103.50	227.30	140.32	97.12	135.86	273.49	401.71	105.59	113.80	97.03	94.22	508.84	201.74	137.58	137.74	201.76	290.98	366.68	333.09	324.20	335.21	282.54	266.29	318.00	298.39	242.86	306.46	325.57	247.43	250.78	290.21	263.03	456.98	371.46	487.88	405.37	313.85	355.59	310.95	329.30	385.82	285.46	293.24	279.62	333.52	338.26	318.69
CLUG_00038	73589	130.10	157.09	112.67	129.37	120.05	116.73	105.44	87.04	103.98	226.75	137.49	94.88	111.23	274.85	383.62	105.85	114.45	98.39	94.63	475.19	193.99	138.74	133.67	198.39	259.95	352.70	339.46	303.23	321.55	270.02	256.94	285.41	270.95	214.73	266.02	311.69	225.36	208.97	275.31	224.22	421.56	346.59	460.12	387.82	278.17	330.90	303.58	324.58	360.17	273.55	284.18	260.93	325.79	298.21	277.24
CLUG_00039	74478	118.97	162.13	127.55	140.16	135.82	130.60	119.16	89.91	104.80	226.43	140.95	95.98	124.08	257.29	393.41	108.78	113.51	97.86	91.69	539.60	189.02	134.82	131.97	204.70	272.38	335.70	322.74	332.72	328.56	274.43	274.52	286.69	284.14	224.54	290.23	306.74	200.06	233.80	256.62	254.89	454.92	342.27	479.74	392.32	291.93	332.66	304.26	322.32	359.01	271.39	280.82	271.74	335.38	326.92	305.19
CLUG_00040	77018	111.47	167.49	123.32	141.15	133.73	125.82	122.12	86.23	114.04	212.32	141.07	91.77	139.78	275.66	377.09	106.12	112.09	110.95	88.30	518.36	183.85	113.54	132.00	202.80	286.85	337.72	330.72	301.39	332.68	269.00	280.37	286.63	287.55	239.88	262.18	305.55	206.78	221.20	268.29	250.25	443.62	340.31	483.67	409.13	263.38	334.05	301.69	310.39	402.83	262.41	275.16	264.95	317.42	311.19	297.20
CLUG_00041	77926	128.74	155.47	117.34	136.22	128.86	131.63	118.26	93.77	118.52	238.19	139.27	95.59	135.34	268.40	391.80	111.33	107.98	106.96	98.63	519.37	187.78	131.32	148.35	210.25	284.52	351.50	323.00	328.41	325.63	274.21	273.54	288.74	269.20	233.33	281.74	299.63	214.33	220.00	259.34	252.98	458.02	341.89	467.03	400.08	291.50	331.27	305.03	315.98	363.82	283.25	285.86	269.44	312.69	320.23	290.98
CLUG_00042	79518	129.55	164.20	120.24	137.23	141.59	136.12	115.89	89.85	108.10	235.29	151.40	96.59	134.14	291.73	411.53	120.58	118.02	103.93	98.06	533.05	205.47	144.88	147.61	208.97	308.62	342.15	345.53	321.10	349.57	281.85	291.91	306.53	287.64	249.19	302.34	324.88	230.08	236.27	285.56	253.66	451.00	358.65	490.58	401.46	314.18	352.11	313.74	334.66	378.44	293.25	297.87	276.27	351.37	330.11	309.79
CLUG_00043	80669	117.57	154.52	117.57	134.90	125.66	126.21	107.59	97.52	114.78	228.15	135.98	96.54	131.80	266.92	399.56	105.24	107.40	104.46	83.66	510.52	187.18	132.53	133.35	197.63	282.67	346.86	324.54	322.75	317.15	273.48	276.83	300.72	280.58	229.95	301.64	308.89	225.56	237.60	252.10	244.90	446.02	346.04	483.69	402.71	288.77	325.20	301.74	315.72	362.38	275.27	280.42	282.14	335.86	323.18	299.35
CLUG_00044	83319	123.65	171.62	120.64	138.54	132.40	132.86	110.31	94.53	119.65	231.16	148.44	99.16	133.05	289.48	404.05	105.29	119.02	108.36	101.67	523.57	193.61	145.78	143.35	197.55	290.04	355.26	342.66	328.72	338.41	276.88	279.63	306.66	301.43	244.41	300.47	316.66	229.30	246.72	285.07	262.94	450.28	362.05	485.90	414.78	298.45	343.82	324.45	334.16	369.91	299.43	296.87	285.70	335.12	334.60	303.39
CLUG_00045	86480	130.58	162.31	107.92	123.33	148.40	123.23	108.03	93.81	120.11	226.47	134.23	95.43	138.03	287.34	410.06	114.49	107.81	98.20	93.79	517.25	174.20	143.57	119.61	191.53	293.71	370.88	322.22	324.45	325.63	274.00	267.18	286.61	291.86	227.69	286.53	316.21	224.44	241.79	265.02	228.89	419.62	346.83	469.54	395.25	278.28	340.29	292.84	314.70	376.62	273.73	269.37	284.47	312.31	322.43	303.45
CLUG_00046	87311	127.02	165.95	125.04	142.20	131.99	123.39	118.79	103.90	109.79	231.48	141.70	107.16	133.92	294.57	411.08	113.42	117.24	112.94	100.24	532.39	184.92	133.88	142.06	204.20	289.66	344.86	330.22	329.66	343.25	289.93	277.69	298.74	298.45	232.31	293.14	312.20	204.27	213.31	249.43	254.45	456.27	365.75	472.62	403.04	283.91	331.07	299.55	325.64	371.21	274.72	284.37	264.64	329.54	326.07	302.21
CLUG_00047	89098	122.41	164.97	117.55	136.45	128.68	120.13	112.65	103.46	120.72	222.47	144.47	97.39	124.66	284.57	405.18	112.03	113.19	111.61	96.23	520.99	195.67	137.86	141.48	203.85	271.90	333.08	328.76	310.45	330.03	277.20	272.89	292.64	285.28	230.23	307.08	313.95	213.48	222.78	249.66	243.80	432.52	354.08	456.35	394.99	299.64	326.51	285.28	312.11	366.82	286.85	273.67	280.66	327.56	324.17	295.09
CLUG_00048	90642	116.94	154.25	124.18	141.05	131.18	139.00	114.33	88.34	115.88	232.75	142.90	93.62	130.26	279.43	397.56	103.19	109.83	98.25	92.70	521.99	187.80	131.34	138.90	208.45	295.07	346.40	309.27	311.44	311.31	263.70	267.83	300.47	287.08	228.52	294.00	308.51	216.05	219.28	258.93	248.62	423.20	353.64	482.56	388.58	287.88	336.20	298.98	303.92	368.30	264.47	280.91	278.76	336.40	314.47	286.73
CLUG_00049	93538	128.30	166.18	120.61	126.82	132.56	130.88	112.54	98.18	115.06	221.43	141.45	95.64	130.85	285.38	413.34	100.91	111.06	110.25	99.74	509.87	194.52	130.46	139.44	206.56	300.83	331.74	337.84	320.70	327.89	280.35	269.62	285.56	297.52	232.93	305.40	302.60	212.53	230.38	260.85	234.39	436.83	345.10	476.31	383.04	287.07	325.54	289.48	302.40	353.49	261.44	276.01	271.21	315.48	305.93	289.32
CLUG_00050	95331	124.90	157.67	124.79	144.94	139.01	148.44	117.87	97.88	116.46	254.32	151.60	93.17	136.01	286.42	421.62	123.72	106.81	111.10	93.49	547.97	181.58	137.12	137.30	201.46	291.88	356.42	332.86	341.24	328.49	296.67	291.06	304.33	297.58	254.33	299.86	316.01	201.39	213.76	264.26	249.93	447.63	354.72	488.18	405.58	298.79	328.68	314.79	338.47	371.49	291.73	288.98	279.43	329.78	346.83	303.85
CLUG_00051	97038	124.46	159.95	129.18	146.30	125.97	136.00	123.80	99.38	115.95	223.62	147.32	100.00	138.27	290.36	392.09	114.79	117.34	103.75	95.03	531.91	200.38	143.57	145.02	189.09	290.11	343.46	326.47	321.61	320.35	278.56	270.58	293.13	285.38	240.92	300.09	325.54	214.94	226.25	258.63	233.96	437.85	329.96	457.97	384.04	280.95	327.77	308.80	289.15	365.79	257.54	282.89	273.02	323.76	345.14	294.80
CLUG_00052	98258	125.63	164.83	122.66	135.42	137.07	129.18	113.20	97.26	119.95	232.17	146.81	102.65	134.67	280.67	404.52	113.55	110.03	112.09	97.62	533.60	182.78	141.18	136.27	198.87	290.05	342.97	334.75	332.81	333.39	283.27	278.84	294.81	296.07	246.20	303.50	317.87	215.42	217.62	274.75	247.72	430.84	352.67	462.67	396.71	292.14	336.24	304.12	326.04	357.84	278.87	289.65	279.88	328.15	321.14	297.77
CLUG_00053	102696	114.86	159.10	116.30	138.29	127.58	117.26	109.49	93.18	118.17	229.04	143.17	94.37	132.73	281.54	398.33	109.31	103.70	103.42	92.13	511.13	172.70	128.96	126.36	192.35	290.02	326.04	321.65	325.00	320.98	280.12	263.97	277.73	301.99	234.36	284.72	303.30	236.80	236.89	251.55	240.85	419.64	352.06	481.64	398.30	289.79	339.68	297.04	311.88	353.50	277.93	274.59	278.08	329.19	299.08	295.14
CLUG_00054	104304	122.70	158.21	118.79	136.60	124.69	125.29	113.42	89.78	113.61	233.23	149.82	105.72	134.39	273.52	412.10	105.92	108.89	106.46	97.07	515.93	186.95	148.25	137.35	189.64	304.43	350.48	338.06	333.19	334.35	284.04	279.04	310.12	290.08	232.52	296.15	305.05	245.34	245.03	264.69	241.54	444.00	361.88	458.92	387.84	299.42	329.99	294.65	318.36	356.00	263.53	275.88	262.40	326.79	327.43	282.37
CLUG_00055	106314	118.40	153.06	124.43	134.56	138.52	121.96	108.90	99.21	115.71	229.76	137.16	95.49	119.27	277.70	375.09	118.31	117.63	103.44	96.33	519.74	176.27	140.32	127.11	194.09	294.48	336.06	312.19	327.03	337.48	280.29	275.81	290.08	281.00	229.41	293.82	317.26	227.07	218.43	255.57	240.80	436.12	359.32	465.92	389.93	280.65	330.46	314.33	322.47	349.93	285.06	289.93	268.70	334.91	335.48	288.12
CLUG_00056	107653	127.16	157.68	116.10	138.35	130.85	130.11	118.74	97.68	111.40	233.64	137.43	106.28	138.24	276.38	416.58	108.89	110.86	108.35	97.39	536.57	187.55	137.58	134.16	202.68	305.71	334.44	326.43	311.22	325.18	290.59	285.64	300.60	288.54	240.18	294.14	306.66	218.83	232.16	262.94	245.43	419.12	346.42	474.64	397.16	290.82	313.19	298.74	323.79	368.09	268.16	286.49	279.19	324.86	317.09	288.44
CLUG_00057	110452	112.13	145.11	117.66	140.88	126.10	130.78	115.71	85.29	102.60	224.27	136.89	93.24	125.59	266.45	374.54	97.54	105.39	100.68	92.83	507.73	179.53	137.96	131.45	174.55	294.03	316.69	331.95	320.18	307.23	276.43	269.33	288.75	295.75	232.26	300.85	313.74	226.77	240.56	262.58	245.69	416.75	355.55	464.41	390.82	282.15	307.14	291.59	317.82	359.73	283.09	291.73	283.51	322.39	326.74	292.40
