GENE	POSITION	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01211	3191	1.4744	A11.L11G	L	A
CLUG_01211	3191	1.4602	A12.L10B	L	A
CLUG_01211	3191	1.4453	A13.L3B	L	A
CLUG_01211	3191	1.3496	A14.L4E	L	A
CLUG_01211	3191	1.3957	A15.L4G	L	A
CLUG_01211	3191	1.5109	A16.L7C	L	A
CLUG_01211	3191	1.3068	A17.L1B	L	A
CLUG_01211	3191	1.4528	A18.S4H	S	A
CLUG_01211	3191	1.7008	A19.S3B	S	A
CLUG_01211	3191	1.5359	A2.U10A	U	A
CLUG_01211	3191	1.3112	A20.S1E	S	A
CLUG_01211	3191	1.4510	A21.S8A	S	A
CLUG_01211	3191	1.6236	A22.UpperP	U	A
CLUG_01211	3191	1.3919	A23.LowerP	L	A
CLUG_01211	3191	1.3793	A24.SputuP	S	A
CLUG_01211	3191	1.4168	A3.U3G	U	A
CLUG_01211	3191	1.3992	A4.U3B	U	A
CLUG_01211	3191	1.4097	A5.U10D	U	A
CLUG_01211	3191	1.5032	A6.U5C	U	A
CLUG_01211	3191	1.4067	A7.U3E	U	A
CLUG_01211	3191	1.5245	A8.U2E	U	A
CLUG_01211	3191	1.5279	A9.L3D	L	A
CLUG_01211	3191	1.6434	ATCC42720	Blood	ATCC42720
CLUG_01211	3191	1.6830	B16.1310D	L	B
CLUG_01211	3191	1.5409	B17.1311G	L	B
CLUG_01211	3191	1.4488	B18.1312G	L	B
CLUG_01211	3191	1.6284	B19.1310A	L	B
CLUG_01211	3191	1.5549	B20.1311A	L	B
CLUG_01211	3191	1.4864	B21.1312A	L	B
CLUG_01211	3191	1.6098	B22.134E	U	B
CLUG_01211	3191	1.4455	B23.133H	U	B
CLUG_01211	3191	1.4409	B24.133F	U	B
CLUG_01211	3191	1.4110	B25.135C	U	B
CLUG_01211	3191	1.4124	B26.131A	U	B
CLUG_01211	3191	1.2945	B27.136A	U	B
CLUG_01211	3191	1.3621	B28.13UM	U	B
CLUG_01211	3191	1.7952	B29.13MM	M	B
CLUG_01211	3191	1.7842	C10.9M3	M	C
CLUG_01211	3191	1.9636	C11.9M41	M	C
CLUG_01211	3191	1.4507	C12.9U1	U	C
CLUG_01211	3191	1.5797	C13.9U2	U	C
CLUG_01211	3191	1.4623	C14.9U3	U	C
CLUG_01211	3191	1.5312	C15.9U4s	U	C
CLUG_01211	3191	1.8870	C30.13LM	L	C
CLUG_01211	3191	1.6654	C31.13MP	U	C
CLUG_01211	3191	1.6819	C4.9L1	L	C
CLUG_01211	3191	1.6756	C5.9L2	L	C
CLUG_01211	3191	1.7563	C6.9L3	L	C
CLUG_01211	3191	1.8592	C7.9L4	L	C
CLUG_01211	3191	1.5013	C8.9M1	M	C
CLUG_01211	3191	1.4343	C9.9M2	M	C
CLUG_01211	3191	1.3815	ctl1.AL1B	L	A
CLUG_01211	3191	1.5120	ctl2.AL1B	L	A
CLUG_01212	5965	1.4554	POSITION	UNK	P
CLUG_01212	5965	1.2483	A10.L4C	L	A
CLUG_01212	5965	1.4138	A11.L11G	L	A
CLUG_01212	5965	1.4047	A12.L10B	L	A
CLUG_01212	5965	1.4240	A13.L3B	L	A
CLUG_01212	5965	1.4029	A14.L4E	L	A
CLUG_01212	5965	1.4430	A15.L4G	L	A
CLUG_01212	5965	1.3410	A16.L7C	L	A
CLUG_01212	5965	1.3733	A17.L1B	L	A
CLUG_01212	5965	1.3002	A18.S4H	S	A
CLUG_01212	5965	1.4016	A19.S3B	S	A
CLUG_01212	5965	1.4006	A2.U10A	U	A
CLUG_01212	5965	1.2522	A20.S1E	S	A
CLUG_01212	5965	1.4477	A21.S8A	S	A
CLUG_01212	5965	1.4833	A22.UpperP	U	A
CLUG_01212	5965	1.2082	A23.LowerP	L	A
CLUG_01212	5965	1.4729	A24.SputuP	S	A
CLUG_01212	5965	1.4728	A3.U3G	U	A
CLUG_01212	5965	1.4104	A4.U3B	U	A
CLUG_01212	5965	1.3938	A5.U10D	U	A
CLUG_01212	5965	1.3771	A6.U5C	U	A
CLUG_01212	5965	1.2889	A7.U3E	U	A
CLUG_01212	5965	1.4171	A8.U2E	U	A
CLUG_01212	5965	1.3958	A9.L3D	L	A
CLUG_01212	5965	1.6218	ATCC42720	Blood	ATCC42720
CLUG_01212	5965	1.6942	B16.1310D	L	B
CLUG_01212	5965	1.5939	B17.1311G	L	B
CLUG_01212	5965	1.4119	B18.1312G	L	B
CLUG_01212	5965	1.7168	B19.1310A	L	B
CLUG_01212	5965	1.5809	B20.1311A	L	B
CLUG_01212	5965	1.4956	B21.1312A	L	B
CLUG_01212	5965	1.6195	B22.134E	U	B
CLUG_01212	5965	1.4514	B23.133H	U	B
CLUG_01212	5965	1.4941	B24.133F	U	B
CLUG_01212	5965	1.4962	B25.135C	U	B
CLUG_01212	5965	1.3805	B26.131A	U	B
CLUG_01212	5965	1.6295	B27.136A	U	B
CLUG_01212	5965	1.6626	B28.13UM	U	B
CLUG_01212	5965	1.9275	B29.13MM	M	B
CLUG_01212	5965	1.8449	C10.9M3	M	C
CLUG_01212	5965	2.0412	C11.9M41	M	C
CLUG_01212	5965	1.4711	C12.9U1	U	C
CLUG_01212	5965	1.6121	C13.9U2	U	C
CLUG_01212	5965	1.4435	C14.9U3	U	C
CLUG_01212	5965	1.5397	C15.9U4s	U	C
CLUG_01212	5965	1.8936	C30.13LM	L	C
CLUG_01212	5965	1.7069	C31.13MP	U	C
CLUG_01212	5965	1.6856	C4.9L1	L	C
CLUG_01212	5965	1.6587	C5.9L2	L	C
CLUG_01212	5965	1.7913	C6.9L3	L	C
CLUG_01212	5965	1.8317	C7.9L4	L	C
CLUG_01212	5965	1.5293	C8.9M1	M	C
CLUG_01212	5965	1.3871	C9.9M2	M	C
CLUG_01212	5965	1.4503	ctl1.AL1B	L	A
CLUG_01212	5965	1.5322	ctl2.AL1B	L	A
CLUG_01213	6852	1.4608	POSITION	UNK	P
CLUG_01213	6852	1.3692	A10.L4C	L	A
CLUG_01213	6852	1.4137	A11.L11G	L	A
CLUG_01213	6852	1.4424	A12.L10B	L	A
CLUG_01213	6852	1.4321	A13.L3B	L	A
CLUG_01213	6852	1.3316	A14.L4E	L	A
CLUG_01213	6852	1.3709	A15.L4G	L	A
CLUG_01213	6852	1.5389	A16.L7C	L	A
CLUG_01213	6852	1.2976	A17.L1B	L	A
CLUG_01213	6852	1.4446	A18.S4H	S	A
CLUG_01213	6852	1.5421	A19.S3B	S	A
CLUG_01213	6852	1.4235	A2.U10A	U	A
CLUG_01213	6852	1.3838	A20.S1E	S	A
CLUG_01213	6852	1.3981	A21.S8A	S	A
CLUG_01213	6852	1.5050	A22.UpperP	U	A
CLUG_01213	6852	1.3214	A23.LowerP	L	A
CLUG_01213	6852	1.4331	A24.SputuP	S	A
CLUG_01213	6852	1.3383	A3.U3G	U	A
CLUG_01213	6852	1.3901	A4.U3B	U	A
CLUG_01213	6852	1.3953	A5.U10D	U	A
CLUG_01213	6852	1.4365	A6.U5C	U	A
CLUG_01213	6852	1.3901	A7.U3E	U	A
CLUG_01213	6852	1.5181	A8.U2E	U	A
CLUG_01213	6852	1.4166	A9.L3D	L	A
CLUG_01213	6852	1.6085	ATCC42720	Blood	ATCC42720
CLUG_01213	6852	1.6913	B16.1310D	L	B
CLUG_01213	6852	1.6939	B17.1311G	L	B
CLUG_01213	6852	1.4627	B18.1312G	L	B
CLUG_01213	6852	1.7459	B19.1310A	L	B
CLUG_01213	6852	1.6017	B20.1311A	L	B
CLUG_01213	6852	1.5687	B21.1312A	L	B
CLUG_01213	6852	1.6976	B22.134E	U	B
CLUG_01213	6852	1.4692	B23.133H	U	B
CLUG_01213	6852	1.4931	B24.133F	U	B
CLUG_01213	6852	1.5393	B25.135C	U	B
CLUG_01213	6852	1.4045	B26.131A	U	B
CLUG_01213	6852	1.6468	B27.136A	U	B
CLUG_01213	6852	1.7154	B28.13UM	U	B
CLUG_01213	6852	1.7991	B29.13MM	M	B
CLUG_01213	6852	1.8572	C10.9M3	M	C
CLUG_01213	6852	2.0365	C11.9M41	M	C
CLUG_01213	6852	1.5372	C12.9U1	U	C
CLUG_01213	6852	1.6682	C13.9U2	U	C
CLUG_01213	6852	1.4826	C14.9U3	U	C
CLUG_01213	6852	1.5884	C15.9U4s	U	C
CLUG_01213	6852	1.8648	C30.13LM	L	C
CLUG_01213	6852	1.6895	C31.13MP	U	C
CLUG_01213	6852	1.7503	C4.9L1	L	C
CLUG_01213	6852	1.7553	C5.9L2	L	C
CLUG_01213	6852	1.7521	C6.9L3	L	C
CLUG_01213	6852	1.8579	C7.9L4	L	C
CLUG_01213	6852	1.6194	C8.9M1	M	C
CLUG_01213	6852	1.4563	C9.9M2	M	C
CLUG_01213	6852	1.4801	ctl1.AL1B	L	A
CLUG_01213	6852	1.5569	ctl2.AL1B	L	A
CLUG_01214	9127	1.3794	POSITION	UNK	P
CLUG_01214	9127	1.4142	A10.L4C	L	A
CLUG_01214	9127	1.5030	A11.L11G	L	A
CLUG_01214	9127	1.4360	A12.L10B	L	A
CLUG_01214	9127	1.4365	A13.L3B	L	A
CLUG_01214	9127	1.4156	A14.L4E	L	A
CLUG_01214	9127	1.4271	A15.L4G	L	A
CLUG_01214	9127	1.5699	A16.L7C	L	A
CLUG_01214	9127	1.3544	A17.L1B	L	A
CLUG_01214	9127	1.4201	A18.S4H	S	A
CLUG_01214	9127	1.5859	A19.S3B	S	A
CLUG_01214	9127	1.4686	A2.U10A	U	A
CLUG_01214	9127	1.3536	A20.S1E	S	A
CLUG_01214	9127	1.4489	A21.S8A	S	A
CLUG_01214	9127	1.4595	A22.UpperP	U	A
CLUG_01214	9127	1.3260	A23.LowerP	L	A
CLUG_01214	9127	1.4090	A24.SputuP	S	A
CLUG_01214	9127	1.4263	A3.U3G	U	A
CLUG_01214	9127	1.4111	A4.U3B	U	A
CLUG_01214	9127	1.4035	A5.U10D	U	A
CLUG_01214	9127	1.5339	A6.U5C	U	A
CLUG_01214	9127	1.4411	A7.U3E	U	A
CLUG_01214	9127	1.4357	A8.U2E	U	A
CLUG_01214	9127	1.4324	A9.L3D	L	A
CLUG_01214	9127	1.6140	ATCC42720	Blood	ATCC42720
CLUG_01214	9127	1.6347	B16.1310D	L	B
CLUG_01214	9127	1.6054	B17.1311G	L	B
CLUG_01214	9127	1.4324	B18.1312G	L	B
CLUG_01214	9127	1.7206	B19.1310A	L	B
CLUG_01214	9127	1.5575	B20.1311A	L	B
CLUG_01214	9127	1.4790	B21.1312A	L	B
CLUG_01214	9127	1.6429	B22.134E	U	B
CLUG_01214	9127	1.5096	B23.133H	U	B
CLUG_01214	9127	1.4402	B24.133F	U	B
CLUG_01214	9127	1.4234	B25.135C	U	B
CLUG_01214	9127	1.4245	B26.131A	U	B
CLUG_01214	9127	1.3794	B27.136A	U	B
CLUG_01214	9127	1.4654	B28.13UM	U	B
CLUG_01214	9127	1.7914	B29.13MM	M	B
CLUG_01214	9127	1.7866	C10.9M3	M	C
CLUG_01214	9127	1.9753	C11.9M41	M	C
CLUG_01214	9127	1.4987	C12.9U1	U	C
CLUG_01214	9127	1.5939	C13.9U2	U	C
CLUG_01214	9127	1.4629	C14.9U3	U	C
CLUG_01214	9127	1.5357	C15.9U4s	U	C
CLUG_01214	9127	1.8960	C30.13LM	L	C
CLUG_01214	9127	1.6699	C31.13MP	U	C
CLUG_01214	9127	1.5854	C4.9L1	L	C
CLUG_01214	9127	1.7114	C5.9L2	L	C
CLUG_01214	9127	1.7591	C6.9L3	L	C
CLUG_01214	9127	1.8819	C7.9L4	L	C
CLUG_01214	9127	1.6073	C8.9M1	M	C
CLUG_01214	9127	1.4433	C9.9M2	M	C
CLUG_01214	9127	1.4473	ctl1.AL1B	L	A
CLUG_01214	9127	1.4778	ctl2.AL1B	L	A
CLUG_01215	12278	1.5922	POSITION	UNK	P
CLUG_01215	12278	1.4390	A10.L4C	L	A
CLUG_01215	12278	1.5631	A11.L11G	L	A
CLUG_01215	12278	1.4661	A12.L10B	L	A
CLUG_01215	12278	1.4667	A13.L3B	L	A
CLUG_01215	12278	1.3913	A14.L4E	L	A
CLUG_01215	12278	1.4708	A15.L4G	L	A
CLUG_01215	12278	1.5204	A16.L7C	L	A
CLUG_01215	12278	1.3586	A17.L1B	L	A
CLUG_01215	12278	1.4793	A18.S4H	S	A
CLUG_01215	12278	1.6478	A19.S3B	S	A
CLUG_01215	12278	1.5129	A2.U10A	U	A
CLUG_01215	12278	1.3572	A20.S1E	S	A
CLUG_01215	12278	1.5680	A21.S8A	S	A
CLUG_01215	12278	1.5578	A22.UpperP	U	A
CLUG_01215	12278	1.4320	A23.LowerP	L	A
CLUG_01215	12278	1.4514	A24.SputuP	S	A
CLUG_01215	12278	1.4557	A3.U3G	U	A
CLUG_01215	12278	1.3953	A4.U3B	U	A
CLUG_01215	12278	1.4470	A5.U10D	U	A
CLUG_01215	12278	1.5483	A6.U5C	U	A
CLUG_01215	12278	1.5012	A7.U3E	U	A
CLUG_01215	12278	1.5102	A8.U2E	U	A
CLUG_01215	12278	1.5038	A9.L3D	L	A
CLUG_01215	12278	1.6076	ATCC42720	Blood	ATCC42720
CLUG_01215	12278	1.6532	B16.1310D	L	B
CLUG_01215	12278	1.6581	B17.1311G	L	B
CLUG_01215	12278	1.5197	B18.1312G	L	B
CLUG_01215	12278	1.7987	B19.1310A	L	B
CLUG_01215	12278	1.5787	B20.1311A	L	B
CLUG_01215	12278	1.5530	B21.1312A	L	B
CLUG_01215	12278	1.7382	B22.134E	U	B
CLUG_01215	12278	1.5002	B23.133H	U	B
CLUG_01215	12278	1.5434	B24.133F	U	B
CLUG_01215	12278	1.5289	B25.135C	U	B
CLUG_01215	12278	1.4507	B26.131A	U	B
CLUG_01215	12278	1.4256	B27.136A	U	B
CLUG_01215	12278	1.4256	B28.13UM	U	B
CLUG_01215	12278	1.8103	B29.13MM	M	B
CLUG_01215	12278	1.8082	C10.9M3	M	C
CLUG_01215	12278	1.9692	C11.9M41	M	C
CLUG_01215	12278	1.5020	C12.9U1	U	C
CLUG_01215	12278	1.6337	C13.9U2	U	C
CLUG_01215	12278	1.5319	C14.9U3	U	C
CLUG_01215	12278	1.5253	C15.9U4s	U	C
CLUG_01215	12278	1.9345	C30.13LM	L	C
CLUG_01215	12278	1.6520	C31.13MP	U	C
CLUG_01215	12278	1.7173	C4.9L1	L	C
CLUG_01215	12278	1.6809	C5.9L2	L	C
CLUG_01215	12278	1.7917	C6.9L3	L	C
CLUG_01215	12278	1.8826	C7.9L4	L	C
CLUG_01215	12278	1.6264	C8.9M1	M	C
CLUG_01215	12278	1.4349	C9.9M2	M	C
CLUG_01215	12278	1.4384	ctl1.AL1B	L	A
CLUG_01215	12278	1.5856	ctl2.AL1B	L	A
CLUG_01216	15116	1.4445	POSITION	UNK	P
CLUG_01216	15116	1.3237	A10.L4C	L	A
CLUG_01216	15116	1.5010	A11.L11G	L	A
CLUG_01216	15116	1.4115	A12.L10B	L	A
CLUG_01216	15116	1.3786	A13.L3B	L	A
CLUG_01216	15116	1.2952	A14.L4E	L	A
CLUG_01216	15116	1.3113	A15.L4G	L	A
CLUG_01216	15116	1.3986	A16.L7C	L	A
CLUG_01216	15116	1.2714	A17.L1B	L	A
CLUG_01216	15116	1.3384	A18.S4H	S	A
CLUG_01216	15116	1.4137	A19.S3B	S	A
CLUG_01216	15116	1.4250	A2.U10A	U	A
CLUG_01216	15116	1.2824	A20.S1E	S	A
CLUG_01216	15116	1.4214	A21.S8A	S	A
CLUG_01216	15116	1.4697	A22.UpperP	U	A
CLUG_01216	15116	1.2159	A23.LowerP	L	A
CLUG_01216	15116	1.3864	A24.SputuP	S	A
CLUG_01216	15116	1.3275	A3.U3G	U	A
CLUG_01216	15116	1.3838	A4.U3B	U	A
CLUG_01216	15116	1.3814	A5.U10D	U	A
CLUG_01216	15116	1.4211	A6.U5C	U	A
CLUG_01216	15116	1.4249	A7.U3E	U	A
CLUG_01216	15116	1.4789	A8.U2E	U	A
CLUG_01216	15116	1.4272	A9.L3D	L	A
CLUG_01216	15116	1.6242	ATCC42720	Blood	ATCC42720
CLUG_01216	15116	1.7007	B16.1310D	L	B
CLUG_01216	15116	1.5868	B17.1311G	L	B
CLUG_01216	15116	1.4977	B18.1312G	L	B
CLUG_01216	15116	1.7153	B19.1310A	L	B
CLUG_01216	15116	1.5830	B20.1311A	L	B
CLUG_01216	15116	1.5668	B21.1312A	L	B
CLUG_01216	15116	1.6728	B22.134E	U	B
CLUG_01216	15116	1.4401	B23.133H	U	B
CLUG_01216	15116	1.4771	B24.133F	U	B
CLUG_01216	15116	1.4493	B25.135C	U	B
CLUG_01216	15116	1.3788	B26.131A	U	B
CLUG_01216	15116	1.6543	B27.136A	U	B
CLUG_01216	15116	1.6363	B28.13UM	U	B
CLUG_01216	15116	1.7601	B29.13MM	M	B
CLUG_01216	15116	1.8202	C10.9M3	M	C
CLUG_01216	15116	1.9444	C11.9M41	M	C
CLUG_01216	15116	1.5096	C12.9U1	U	C
CLUG_01216	15116	1.5871	C13.9U2	U	C
CLUG_01216	15116	1.4700	C14.9U3	U	C
CLUG_01216	15116	1.5334	C15.9U4s	U	C
CLUG_01216	15116	1.9562	C30.13LM	L	C
CLUG_01216	15116	1.7316	C31.13MP	U	C
CLUG_01216	15116	1.7276	C4.9L1	L	C
CLUG_01216	15116	1.7335	C5.9L2	L	C
CLUG_01216	15116	1.8101	C6.9L3	L	C
CLUG_01216	15116	1.9256	C7.9L4	L	C
CLUG_01216	15116	1.5623	C8.9M1	M	C
CLUG_01216	15116	1.4967	C9.9M2	M	C
CLUG_01216	15116	1.3905	ctl1.AL1B	L	A
CLUG_01216	15116	1.5488	ctl2.AL1B	L	A
CLUG_01217	17014	1.4263	POSITION	UNK	P
CLUG_01217	17014	1.2717	A10.L4C	L	A
CLUG_01217	17014	1.4462	A11.L11G	L	A
CLUG_01217	17014	1.3964	A12.L10B	L	A
CLUG_01217	17014	1.3111	A13.L3B	L	A
CLUG_01217	17014	1.3101	A14.L4E	L	A
CLUG_01217	17014	1.2463	A15.L4G	L	A
CLUG_01217	17014	1.2856	A16.L7C	L	A
CLUG_01217	17014	1.1874	A17.L1B	L	A
CLUG_01217	17014	1.2938	A18.S4H	S	A
CLUG_01217	17014	1.4608	A19.S3B	S	A
CLUG_01217	17014	1.2990	A2.U10A	U	A
CLUG_01217	17014	1.3739	A20.S1E	S	A
CLUG_01217	17014	1.3451	A21.S8A	S	A
CLUG_01217	17014	1.4448	A22.UpperP	U	A
CLUG_01217	17014	1.2745	A23.LowerP	L	A
CLUG_01217	17014	1.2056	A24.SputuP	S	A
CLUG_01217	17014	1.2525	A3.U3G	U	A
CLUG_01217	17014	1.3069	A4.U3B	U	A
CLUG_01217	17014	1.3188	A5.U10D	U	A
CLUG_01217	17014	1.4294	A6.U5C	U	A
CLUG_01217	17014	1.2717	A7.U3E	U	A
CLUG_01217	17014	1.3437	A8.U2E	U	A
CLUG_01217	17014	1.4795	A9.L3D	L	A
CLUG_01217	17014	1.5168	ATCC42720	Blood	ATCC42720
CLUG_01217	17014	1.6982	B16.1310D	L	B
CLUG_01217	17014	1.4630	B17.1311G	L	B
CLUG_01217	17014	1.4046	B18.1312G	L	B
CLUG_01217	17014	1.6879	B19.1310A	L	B
CLUG_01217	17014	1.4386	B20.1311A	L	B
CLUG_01217	17014	1.4112	B21.1312A	L	B
CLUG_01217	17014	1.5792	B22.134E	U	B
CLUG_01217	17014	1.3965	B23.133H	U	B
CLUG_01217	17014	1.4527	B24.133F	U	B
CLUG_01217	17014	1.3654	B25.135C	U	B
CLUG_01217	17014	1.4511	B26.131A	U	B
CLUG_01217	17014	1.5423	B27.136A	U	B
CLUG_01217	17014	1.5875	B28.13UM	U	B
CLUG_01217	17014	1.7399	B29.13MM	M	B
CLUG_01217	17014	1.8347	C10.9M3	M	C
CLUG_01217	17014	1.9995	C11.9M41	M	C
CLUG_01217	17014	1.4761	C12.9U1	U	C
CLUG_01217	17014	1.5682	C13.9U2	U	C
CLUG_01217	17014	1.4193	C14.9U3	U	C
CLUG_01217	17014	1.4941	C15.9U4s	U	C
CLUG_01217	17014	1.7878	C30.13LM	L	C
CLUG_01217	17014	1.7290	C31.13MP	U	C
CLUG_01217	17014	1.6386	C4.9L1	L	C
CLUG_01217	17014	1.6288	C5.9L2	L	C
CLUG_01217	17014	1.6768	C6.9L3	L	C
CLUG_01217	17014	1.7619	C7.9L4	L	C
CLUG_01217	17014	1.5453	C8.9M1	M	C
CLUG_01217	17014	1.3119	C9.9M2	M	C
CLUG_01217	17014	1.4346	ctl1.AL1B	L	A
CLUG_01217	17014	1.4762	ctl2.AL1B	L	A
CLUG_01218	18538	1.2562	POSITION	UNK	P
CLUG_01218	18538	1.2615	A10.L4C	L	A
CLUG_01218	18538	1.4846	A11.L11G	L	A
CLUG_01218	18538	1.3829	A12.L10B	L	A
CLUG_01218	18538	1.4190	A13.L3B	L	A
CLUG_01218	18538	1.3452	A14.L4E	L	A
CLUG_01218	18538	1.2693	A15.L4G	L	A
CLUG_01218	18538	1.3719	A16.L7C	L	A
CLUG_01218	18538	1.2982	A17.L1B	L	A
CLUG_01218	18538	1.3352	A18.S4H	S	A
CLUG_01218	18538	1.4048	A19.S3B	S	A
CLUG_01218	18538	1.3423	A2.U10A	U	A
CLUG_01218	18538	1.2878	A20.S1E	S	A
CLUG_01218	18538	1.3641	A21.S8A	S	A
CLUG_01218	18538	1.4306	A22.UpperP	U	A
CLUG_01218	18538	1.2692	A23.LowerP	L	A
CLUG_01218	18538	1.3244	A24.SputuP	S	A
CLUG_01218	18538	1.2284	A3.U3G	U	A
CLUG_01218	18538	1.3615	A4.U3B	U	A
CLUG_01218	18538	1.3068	A5.U10D	U	A
CLUG_01218	18538	1.4911	A6.U5C	U	A
CLUG_01218	18538	1.3618	A7.U3E	U	A
CLUG_01218	18538	1.4588	A8.U2E	U	A
CLUG_01218	18538	1.3862	A9.L3D	L	A
CLUG_01218	18538	1.5341	ATCC42720	Blood	ATCC42720
CLUG_01218	18538	1.5794	B16.1310D	L	B
CLUG_01218	18538	1.5947	B17.1311G	L	B
CLUG_01218	18538	1.3367	B18.1312G	L	B
CLUG_01218	18538	1.6437	B19.1310A	L	B
CLUG_01218	18538	1.4724	B20.1311A	L	B
CLUG_01218	18538	1.4014	B21.1312A	L	B
CLUG_01218	18538	1.5905	B22.134E	U	B
CLUG_01218	18538	1.4170	B23.133H	U	B
CLUG_01218	18538	1.4448	B24.133F	U	B
CLUG_01218	18538	1.4269	B25.135C	U	B
CLUG_01218	18538	1.3531	B26.131A	U	B
CLUG_01218	18538	1.2673	B27.136A	U	B
CLUG_01218	18538	1.2507	B28.13UM	U	B
CLUG_01218	18538	1.6920	B29.13MM	M	B
CLUG_01218	18538	1.7090	C10.9M3	M	C
CLUG_01218	18538	1.8889	C11.9M41	M	C
CLUG_01218	18538	1.4180	C12.9U1	U	C
CLUG_01218	18538	1.5352	C13.9U2	U	C
CLUG_01218	18538	1.3515	C14.9U3	U	C
CLUG_01218	18538	1.4279	C15.9U4s	U	C
CLUG_01218	18538	1.8225	C30.13LM	L	C
CLUG_01218	18538	1.5530	C31.13MP	U	C
CLUG_01218	18538	1.6231	C4.9L1	L	C
CLUG_01218	18538	1.6574	C5.9L2	L	C
CLUG_01218	18538	1.6656	C6.9L3	L	C
CLUG_01218	18538	1.7584	C7.9L4	L	C
CLUG_01218	18538	1.5150	C8.9M1	M	C
CLUG_01218	18538	1.4008	C9.9M2	M	C
CLUG_01218	18538	1.3882	ctl1.AL1B	L	A
CLUG_01218	18538	1.4439	ctl2.AL1B	L	A
CLUG_01219	19639	1.4360	POSITION	UNK	P
CLUG_01219	19639	1.3598	A10.L4C	L	A
CLUG_01219	19639	1.4094	A11.L11G	L	A
CLUG_01219	19639	1.4118	A12.L10B	L	A
CLUG_01219	19639	1.4210	A13.L3B	L	A
CLUG_01219	19639	1.2539	A14.L4E	L	A
CLUG_01219	19639	1.3556	A15.L4G	L	A
CLUG_01219	19639	1.4109	A16.L7C	L	A
CLUG_01219	19639	1.3437	A17.L1B	L	A
CLUG_01219	19639	1.4304	A18.S4H	S	A
CLUG_01219	19639	1.5369	A19.S3B	S	A
CLUG_01219	19639	1.3640	A2.U10A	U	A
CLUG_01219	19639	1.2866	A20.S1E	S	A
CLUG_01219	19639	1.4251	A21.S8A	S	A
CLUG_01219	19639	1.5030	A22.UpperP	U	A
CLUG_01219	19639	1.2772	A23.LowerP	L	A
CLUG_01219	19639	1.4189	A24.SputuP	S	A
CLUG_01219	19639	1.3429	A3.U3G	U	A
CLUG_01219	19639	1.3764	A4.U3B	U	A
