# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_00103	CLUG_00103	CLUT_00103T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00104	CLUG_00104	CLUT_00104T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00105	CLUG_00105	CLUT_00105T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00106	CLUG_00106	CLUT_00106T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00109	CLUG_00109	CLUT_00109T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00110	CLUG_00110	CLUT_00110T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00111	CLUG_00111	CLUT_00111T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00112	CLUG_00112	CLUT_00112T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00113	CLUG_00113	CLUT_00113T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00114	CLUG_00114	CLUT_00114T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00115	CLUG_00115	CLUT_00115T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00126	CLUG_00126	CLUT_00126T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00127	CLUG_00127	CLUT_00127T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00128	CLUG_00128	CLUT_00128T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00129	CLUG_00129	CLUT_00129T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00130	CLUG_00130	CLUT_00130T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00131	CLUG_00131	CLUT_00131T0	protein_coding	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CLUG_00132	CLUG_00132	CLUT_00132T0	protein_coding	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	2
CLUG_00133	CLUG_00133	CLUT_00133T0	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00134	CLUG_00134	CLUT_00134T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00135	CLUG_00135	CLUT_00135T0	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CLUG_00149	CLUG_00149	CLUT_00149T0	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00150	CLUG_00150	CLUT_00150T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00151	CLUG_00151	CLUT_00151T0	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CLUG_00152	CLUG_00152	CLUT_00152T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00153	CLUG_00153	CLUT_00153T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00154	CLUG_00154	CLUT_00154T0	protein_coding	1	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	1
CLUG_00155	CLUG_00155	CLUT_00155T0	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CLUG_00156	CLUG_00156	CLUT_00156T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00157	CLUG_00157	CLUT_00157T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00158	CLUG_00158	CLUT_00158T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00159	CLUG_00159	CLUT_00159T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00160	CLUG_00160	CLUT_00160T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00161	CLUG_00161	CLUT_00161T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00162	CLUG_00162	CLUT_00162T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00163	CLUG_00163	CLUT_00163T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00166	CLUG_00166	CLUT_00166T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00167	CLUG_00167	CLUT_00167T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00168	CLUG_00168	CLUT_00168T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00169	CLUG_00169	CLUT_00169T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00170	CLUG_00170	CLUT_00170T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00176	CLUG_00176	CLUT_00176T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00177	CLUG_00177	CLUT_00177T0	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLUG_00178	CLUG_00178	CLUT_00178T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00179	CLUG_00179	CLUT_00179T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00180	CLUG_00180	CLUT_00180T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00181	CLUG_00181	CLUT_00181T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00182	CLUG_00182	CLUT_00182T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00183	CLUG_00183	CLUT_00183T0	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00184	CLUG_00184	CLUT_00184T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00201	CLUG_00201	CLUT_00201T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00202	CLUG_00202	CLUT_00202T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00203	CLUG_00203	CLUT_00203T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00204	CLUG_00204	CLUT_00204T0	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CLUG_00205	CLUG_00205	CLUT_00205T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00206	CLUG_00206	CLUT_00206T0	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00207	CLUG_00207	CLUT_00207T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00208	CLUG_00208	CLUT_00208T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00209	CLUG_00209	CLUT_00209T0	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLUG_00215	CLUG_00215	CLUT_00215T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00216	CLUG_00216	CLUT_00216T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00217	CLUG_00217	CLUT_00217T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00218	CLUG_00218	CLUT_00218T0	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CLUG_00219	CLUG_00219	CLUT_00219T0	protein_coding	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1
CLUG_00220	CLUG_00220	CLUT_00220T0	protein_coding	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1
CLUG_00221	CLUG_00221	CLUT_00221T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00222	CLUG_00222	CLUT_00222T0	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CLUG_00223	CLUG_00223	CLUT_00223T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00234	CLUG_00234	CLUT_00234T0	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CLUG_00235	CLUG_00235	CLUT_00235T0	protein_coding	1	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0
CLUG_00236	CLUG_00236	CLUT_00236T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00237	CLUG_00237	CLUT_00237T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00238	CLUG_00238	CLUT_00238T0	protein_coding	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CLUG_00239	CLUG_00239	CLUT_00239T0	protein_coding	1	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	1
CLUG_00240	CLUG_00240	CLUT_00240T0	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CLUG_00241	CLUG_00241	CLUT_00241T0	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00242	CLUG_00242	CLUT_00242T0	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
CLUG_00243	CLUG_00243	CLUT_00243T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00244	CLUG_00244	CLUT_00244T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00245	CLUG_00245	CLUT_00245T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00249	CLUG_00249	CLUT_00249T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00250	CLUG_00250	CLUT_00250T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00251	CLUG_00251	CLUT_00251T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00252	CLUG_00252	CLUT_00252T0	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLUG_00253	CLUG_00253	CLUT_00253T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00254	CLUG_00254	CLUT_00254T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00255	CLUG_00255	CLUT_00255T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00256	CLUG_00256	CLUT_00256T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00257	CLUG_00257	CLUT_00257T0	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CLUG_00258	CLUG_00258	CLUT_00258T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00259	CLUG_00259	CLUT_00259T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00260	CLUG_00260	CLUT_00260T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00284	CLUG_00284	CLUT_00284T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00285	CLUG_00285	CLUT_00285T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00286	CLUG_00286	CLUT_00286T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00287	CLUG_00287	CLUT_00287T0	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
CLUG_00288	CLUG_00288	CLUT_00288T0	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	1
CLUG_00289	CLUG_00289	CLUT_00289T0	protein_coding	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CLUG_00290	CLUG_00290	CLUT_00290T0	protein_coding	2	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	4
CLUG_00291	CLUG_00291	CLUT_00291T0	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	2
CLUG_00292	CLUG_00292	CLUT_00292T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_00293	CLUG_00293	CLUT_00293T0	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CLUG_00294	CLUG_00294	CLUT_00294T0	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CLUG_00295	CLUG_00295	CLUT_00295T0	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CLUG_00296	CLUG_00296	CLUT_00296T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00297	CLUG_00297	CLUT_00297T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00298	CLUG_00298	CLUT_00298T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00299	CLUG_00299	CLUT_00299T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00300	CLUG_00300	CLUT_00300T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00301	CLUG_00301	CLUT_00301T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00302	CLUG_00302	CLUT_00302T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00312	CLUG_00312	CLUT_00312T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00313	CLUG_00313	CLUT_00313T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00314	CLUG_00314	CLUT_00314T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00330	CLUG_00330	CLUT_00330T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00331	CLUG_00331	CLUT_00331T0	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CLUG_00332	CLUG_00332	CLUT_00332T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00333	CLUG_00333	CLUT_00333T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00368	CLUG_00368	CLUT_00368T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00369	CLUG_00369	CLUT_00369T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00370	CLUG_00370	CLUT_00370T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00371	CLUG_00371	CLUT_00371T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00372	CLUG_00372	CLUT_00372T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00373	CLUG_00373	CLUT_00373T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00385	CLUG_00385	CLUT_00385T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00386	CLUG_00386	CLUT_00386T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00387	CLUG_00387	CLUT_00387T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00388	CLUG_00388	CLUT_00388T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00389	CLUG_00389	CLUT_00389T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00390	CLUG_00390	CLUT_00390T0	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLUG_00396	CLUG_00396	CLUT_00396T0	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLUG_00397	CLUG_00397	CLUT_00397T0	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CLUG_00398	CLUG_00398	CLUT_00398T0	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLUG_00399	CLUG_00399	CLUT_00399T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00400	CLUG_00400	CLUT_00400T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00401	CLUG_00401	CLUT_00401T0	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CLUG_00402	CLUG_00402	CLUT_00402T0	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
