GENE	POSITION	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04848	37769	132.69	183.87	136.67	159.20	167.10	161.12	131.34	112.56	146.61	264.45	318.67	145.17	161.14	345.12	471.91	140.60	128.27	133.58	126.37	565.95	221.54	200.51	145.41	201.52	456.51	491.65	511.64	459.43	469.59	431.29	393.79	465.11	424.03	382.64	459.10	469.08	364.44	403.93	416.65	483.67	656.89	489.70	589.40	479.61	432.24	628.19	424.50	494.62	568.35	488.92	523.19	409.78	400.02	421.89	421.61
CLUG_04849	39270	138.45	179.52	145.14	167.95	171.93	158.25	131.84	124.16	159.70	265.23	299.29	139.92	173.70	341.63	453.67	127.67	107.21	121.71	127.36	579.71	218.66	193.37	154.07	213.76	443.16	471.27	531.99	466.20	452.84	399.20	402.68	435.35	412.76	364.47	427.16	412.01	287.19	332.60	419.93	465.85	609.83	441.12	565.10	491.24	396.97	586.85	407.60	491.14	544.73	463.70	503.60	422.23	382.12	391.02	411.40
CLUG_04850	42381	130.08	167.32	122.04	166.64	158.03	138.03	122.47	111.87	130.20	243.60	305.79	131.90	156.04	291.17	434.64	129.06	115.35	121.11	123.26	545.22	196.88	172.40	143.85	193.89	437.28	495.10	492.98	439.70	464.82	393.25	384.59	432.71	396.65	371.28	407.49	410.61	317.23	337.67	330.32	385.88	508.57	377.31	456.41	377.94	412.12	581.47	352.14	372.42	443.11	390.63	418.88	326.65	390.68	377.79	328.98
CLUG_04851	47321	142.68	176.74	128.42	185.72	167.75	159.10	123.50	122.45	140.69	260.40	323.11	142.34	166.18	323.76	476.91	142.76	127.31	133.88	138.79	589.20	213.23	178.33	152.32	208.09	436.24	490.51	501.29	456.13	457.72	399.63	419.30	436.48	415.59	379.67	437.08	422.19	311.95	339.77	428.29	489.21	630.83	477.61	575.84	468.63	429.59	589.53	437.10	499.58	563.33	487.63	542.80	393.40	409.80	390.96	432.46
CLUG_04852	49959	145.92	161.44	133.47	166.17	158.36	146.78	128.29	124.12	161.87	264.40	319.66	134.32	161.51	342.79	475.44	144.29	119.69	123.33	128.29	612.13	212.80	177.76	144.30	207.03	478.89	499.02	515.24	473.70	457.24	404.59	404.72	435.94	414.49	366.26	427.38	432.47	372.86	369.43	429.57	494.99	616.75	477.05	567.67	478.12	436.52	636.99	416.33	461.44	506.36	469.84	543.08	423.22	409.34	389.08	407.22
CLUG_04853	50902	130.23	166.29	122.63	165.94	148.89	144.75	122.90	114.29	143.29	254.34	308.02	126.36	158.33	313.15	463.40	120.88	120.94	124.30	128.57	571.34	202.75	176.16	147.88	195.80	447.99	492.49	492.49	471.73	445.97	396.98	391.10	434.48	407.27	372.02	428.88	430.18	319.61	338.57	412.76	488.41	631.07	475.80	586.69	472.79	436.91	589.39	430.32	487.02	550.34	475.79	519.32	412.49	397.50	380.33	430.77
CLUG_04854	53164	141.20	174.13	129.35	161.47	157.24	147.77	123.01	118.97	142.77	253.42	300.69	128.39	161.11	334.16	470.23	127.86	117.77	128.03	131.07	584.32	210.01	183.04	142.72	209.16	434.37	493.00	520.18	445.95	456.71	392.70	400.23	439.35	397.62	376.86	435.78	419.37	337.83	337.77	412.61	471.67	622.72	475.48	582.36	474.90	433.90	582.56	415.07	486.45	528.59	477.15	520.11	406.65	396.30	391.63	424.91
CLUG_04855	57107	129.49	173.05	122.77	167.21	153.89	144.49	128.53	120.13	138.02	254.27	291.03	138.66	159.91	310.35	462.91	137.28	116.78	121.18	124.34	542.85	203.88	187.86	144.32	201.43	447.85	512.12	498.09	460.54	456.52	394.32	398.86	419.14	428.57	381.95	426.36	436.99	329.71	341.82	435.65	495.53	641.50	473.26	584.92	480.81	427.01	583.54	430.45	475.08	582.89	494.37	549.25	408.00	421.73	398.82	445.85
CLUG_04856	58750	118.00	155.96	117.98	148.82	131.56	142.80	101.51	103.25	119.39	234.92	283.04	115.98	143.01	268.47	396.03	110.82	90.78	111.01	111.59	481.56	184.43	175.54	139.11	173.91	405.03	444.98	463.87	415.89	410.12	365.33	367.24	417.51	379.00	332.49	403.02	399.04	306.89	308.06	422.67	468.14	611.98	466.48	557.58	454.19	410.51	547.67	415.59	475.03	521.58	477.88	525.87	389.40	384.05	352.24	407.23
CLUG_04857	59987	130.68	180.63	126.00	158.95	165.62	147.47	115.75	119.69	142.78	264.78	300.00	141.71	157.20	312.00	462.13	120.09	115.28	132.25	126.29	568.95	189.22	176.27	146.96	209.38	456.48	488.30	493.83	446.36	428.16	397.05	383.61	418.69	384.85	371.50	421.23	433.00	316.41	312.41	409.56	467.24	633.50	467.86	587.52	459.06	414.77	571.72	428.82	484.38	541.39	470.47	513.56	396.78	384.37	375.56	416.00
CLUG_04858	61615	121.82	165.24	115.82	161.99	158.01	143.83	130.61	116.88	144.48	251.92	293.74	133.89	170.43	348.35	477.41	132.26	111.30	126.63	126.24	569.59	197.09	177.38	140.06	196.50	430.79	494.55	483.77	437.58	461.59	397.61	364.47	407.21	388.91	358.07	409.27	416.90	297.92	324.98	410.19	456.14	623.52	462.20	579.32	472.88	410.18	580.68	427.65	503.52	530.02	446.26	521.22	386.28	394.68	399.14	419.71
CLUG_04859	62180	148.96	195.32	129.89	188.32	174.71	162.58	122.05	115.53	176.78	279.47	345.92	134.71	180.90	373.56	486.91	152.09	131.59	156.41	130.57	648.24	220.76	202.11	180.94	232.24	460.24	511.96	514.81	453.07	464.34	391.49	421.75	421.71	412.87	377.45	441.74	417.30	317.21	340.89	420.49	469.09	661.15	479.07	599.96	477.36	443.00	639.95	440.12	473.95	582.63	490.51	519.95	432.26	388.70	391.27	423.55
CLUG_04860	63586	128.67	157.54	119.04	154.55	143.94	136.93	116.81	100.41	135.30	237.19	277.40	131.59	149.56	297.43	423.49	118.43	112.09	118.26	123.12	533.55	184.01	169.50	134.00	197.85	426.61	456.75	463.52	431.06	432.37	378.14	370.34	405.70	381.13	361.31	391.13	399.45	311.36	325.82	407.66	457.26	607.23	462.54	552.49	443.26	410.87	573.51	414.56	478.43	526.05	472.33	498.18	390.60	368.67	381.09	410.36
CLUG_04861	67538	118.01	141.44	101.74	142.01	144.76	118.68	106.24	102.23	124.56	211.82	253.90	117.59	142.75	279.29	369.41	111.06	97.41	122.46	104.23	489.22	174.64	152.43	135.83	174.23	384.16	428.91	444.98	423.41	415.18	335.81	357.16	364.77	351.13	328.48	379.11	382.07	267.78	306.30	354.91	421.85	547.69	428.53	518.81	407.44	378.06	528.48	388.66	449.39	489.96	426.69	470.91	365.68	348.22	348.88	386.78
CLUG_04862	67727	116.97	141.65	98.66	141.57	144.36	118.30	106.27	101.34	126.45	209.24	249.94	114.60	140.25	283.14	366.16	114.64	93.65	117.42	102.23	488.91	173.96	152.05	136.53	172.76	384.86	428.65	445.79	422.22	414.36	338.44	360.82	367.21	352.63	330.57	374.68	385.92	264.66	308.06	355.26	426.97	553.76	434.88	519.95	409.38	379.14	519.68	394.25	449.95	495.97	433.12	477.71	363.79	346.95	349.65	385.74
CLUG_04863	69350	117.24	153.06	118.57	152.10	141.07	125.18	115.67	94.78	133.18	239.40	277.16	118.68	148.38	277.59	415.17	117.93	107.80	119.67	111.92	523.35	184.00	159.40	126.03	185.28	408.40	460.13	453.64	425.03	419.47	365.35	374.68	387.00	378.18	355.06	421.18	397.39	294.00	325.43	384.12	442.54	582.34	437.33	549.00	426.90	394.06	559.10	389.55	468.86	523.59	455.62	490.64	380.20	373.83	368.94	415.94
CLUG_04864	72707	115.86	158.13	109.72	146.83	144.89	131.54	114.48	98.82	135.68	228.75	277.95	122.01	148.13	294.63	426.02	116.64	99.97	116.30	120.93	530.07	179.49	168.78	136.31	189.01	396.10	449.16	453.25	423.58	409.03	354.57	350.73	399.88	353.05	350.41	405.76	399.60	295.73	309.78	373.64	431.09	593.56	437.74	542.98	432.49	384.32	537.76	397.87	458.33	495.09	447.30	478.24	375.98	365.94	358.05	384.28
CLUG_04865	76090	116.35	151.44	114.00	155.71	146.35	130.69	104.47	104.70	130.73	230.19	276.98	119.40	147.42	298.05	392.12	122.68	113.90	117.99	105.32	522.05	190.10	157.47	136.90	188.62	384.26	421.75	439.62	401.88	395.72	355.78	358.68	384.01	362.30	340.60	399.54	397.46	286.63	320.09	363.59	419.77	551.28	437.54	526.15	419.59	382.81	513.81	377.51	445.93	505.73	444.33	468.92	370.00	360.09	350.43	388.25
CLUG_04866	78502	124.72	157.40	107.59	148.11	142.25	130.79	115.00	110.89	129.76	242.17	275.49	121.24	151.87	296.58	414.17	116.31	107.67	118.29	117.01	534.40	179.51	156.15	128.72	189.51	404.70	450.26	455.23	414.86	419.23	367.79	365.20	379.98	379.13	352.87	398.69	394.91	285.53	317.72	385.91	430.24	574.69	440.82	537.99	426.31	391.65	536.48	393.08	447.93	494.50	428.46	488.04	387.33	368.96	369.88	396.65
CLUG_04867	82005	109.95	129.90	105.77	136.65	137.82	122.30	106.08	97.80	122.08	210.05	234.26	107.75	131.37	257.46	356.21	94.19	95.06	111.95	106.88	467.96	156.47	148.40	128.91	152.52	385.35	429.01	449.92	430.45	406.63	383.78	365.68	368.30	373.18	358.03	420.15	410.24	398.85	426.74	391.78	420.93	593.14	446.17	549.89	434.19	402.60	548.01	395.61	460.13	515.54	451.53	467.51	394.74	376.83	368.50	401.72
CLUG_04868	82084	129.63	154.48	114.32	148.46	147.36	129.20	115.32	104.49	132.42	242.26	274.05	122.22	148.24	293.04	415.23	119.21	105.56	119.01	108.53	537.59	178.60	166.46	136.87	185.57	422.25	455.38	462.66	427.03	424.61	385.23	373.42	386.71	377.93	361.24	411.40	412.67	328.82	341.17	407.58	448.12	599.06	456.32	553.27	447.15	400.68	550.21	410.65	466.86	537.61	456.01	482.08	391.63	388.65	375.13	406.86
CLUG_04869	82950	122.25	143.59	101.48	138.20	140.55	126.20	105.53	90.32	120.70	232.14	251.20	113.10	140.47	251.30	387.21	91.51	102.11	110.31	96.16	504.83	158.82	142.60	141.08	155.61	458.37	444.91	481.56	438.92	446.26	410.63	382.93	408.90	385.79	386.81	423.18	423.14	428.73	428.66	445.08	470.91	640.59	500.57	580.73	477.18	424.20	582.72	437.71	519.56	587.81	474.12	486.97	422.26	400.96	381.04	439.96
CLUG_04870	87223	119.78	146.48	105.00	143.09	144.33	128.67	110.17	102.83	138.61	246.42	271.44	125.08	144.61	291.58	424.84	127.17	108.05	117.86	114.39	533.60	179.99	172.81	128.16	180.50	437.86	438.57	454.14	416.46	432.10	351.70	383.16	384.20	385.75	337.18	409.06	382.02	295.85	347.98	382.26	449.49	606.89	471.54	530.64	424.39	394.77	545.83	396.50	461.73	520.97	435.91	481.27	370.23	384.97	372.43	406.40
CLUG_04871	89147	126.02	152.99	89.82	127.91	135.04	114.33	98.46	85.79	130.50	211.28	253.30	99.30	140.07	270.14	362.00	113.18	90.01	133.45	106.08	520.22	157.26	153.03	119.17	168.79	418.22	466.01	446.17	414.90	399.52	367.83	369.73	382.04	366.40	350.88	385.44	388.65	348.24	374.95	376.13	422.09	577.69	433.96	533.68	444.72	406.55	533.82	402.83	460.82	502.28	454.78	464.53	364.77	379.18	373.89	384.95
CLUG_04872	89157	127.29	153.27	90.78	129.05	137.00	114.50	97.56	86.66	132.11	210.58	261.09	100.32	142.09	270.98	365.59	113.96	90.86	130.66	109.25	514.31	161.01	154.81	120.12	171.91	420.19	462.51	438.21	412.87	393.70	369.07	371.26	379.58	368.09	352.18	381.95	387.58	335.26	362.53	375.99	420.91	572.57	435.84	534.38	442.96	401.35	528.78	403.63	457.28	500.83	453.55	465.65	364.15	378.49	373.13	383.30
CLUG_04873	90431	120.34	155.84	101.89	156.22	148.16	124.98	112.63	96.12	122.73	242.14	276.40	119.18	142.52	290.50	414.53	116.54	103.51	114.68	118.01	514.50	181.60	160.70	137.99	188.32	392.99	435.98	436.04	418.97	392.84	362.46	352.07	378.36	369.10	339.77	393.61	377.11	295.60	315.06	356.10	381.99	522.07	395.71	511.26	397.73	386.32	503.89	359.13	408.42	461.75	398.89	430.90	339.89	356.14	361.85	359.72
CLUG_04874	92998	125.04	157.76	114.90	143.90	138.24	130.59	106.05	103.70	136.48	251.46	259.96	100.72	151.09	267.80	425.46	113.35	102.74	106.75	110.74	547.12	170.54	172.60	135.67	193.26	409.09	441.85	467.46	412.50	437.43	383.30	356.54	386.63	366.18	335.54	380.51	364.59	265.11	297.35	375.71	450.24	582.55	448.38	550.28	441.55	381.24	516.70	398.88	411.11	498.67	431.83	465.86	374.74	368.27	345.66	410.90
CLUG_04875	93515	129.19	164.45	113.63	156.14	144.28	131.14	112.85	106.98	137.84	249.53	284.79	119.51	148.62	294.80	427.34	120.60	111.81	117.02	122.83	545.94	173.37	164.89	139.27	191.86	413.91	457.51	463.84	420.82	409.63	377.22	369.97	395.35	376.91	350.71	393.88	397.52	262.44	305.89	364.88	417.58	558.87	446.17	525.89	422.32	394.53	555.84	380.21	451.29	493.77	427.30	479.05	364.74	362.04	367.53	385.66
CLUG_04876	97307	111.67	137.37	91.91	130.93	121.91	111.43	102.22	89.57	111.44	221.16	235.43	104.27	124.54	244.09	340.39	95.76	97.21	107.03	99.26	464.71	149.34	138.03	119.85	156.37	380.55	419.45	428.53	390.55	390.07	352.12	338.91	343.42	349.77	330.33	365.82	354.74	324.41	361.27	335.79	393.42	521.55	401.55	481.21	392.76	372.93	509.62	365.01	409.43	459.34	385.64	422.95	339.15	348.49	340.55	353.62
CLUG_04877	101030	101.31	122.42	91.06	119.88	120.36	104.94	92.55	84.55	110.33	209.73	224.14	97.12	122.21	238.09	314.64	79.23	84.76	101.99	98.74	456.27	141.03	136.81	115.06	143.12	398.16	435.28	423.54	401.31	409.17	371.58	364.37	361.58	372.02	334.61	391.55	387.57	374.25	419.59	367.23	414.72	540.73	431.95	502.83	401.83	388.76	524.90	390.83	427.49	491.99	408.75	450.58	367.48	371.10	350.40	364.60
CLUG_04878	104797	138.46	150.99	112.48	151.93	136.82	126.98	118.77	96.92	132.09	253.02	283.70	134.78	146.73	302.17	421.44	129.12	115.63	128.27	116.06	547.37	187.23	158.14	141.55	172.25	417.86	448.78	453.30	437.26	395.19	382.85	365.73	379.69	386.86	348.76	395.94	383.63	298.46	310.62	384.90	432.53	567.58	455.20	534.27	460.65	399.70	518.85	389.39	449.89	505.86	438.58	458.11	370.78	367.89	380.81	405.31
CLUG_04879	106508	113.58	143.31	99.04	132.86	137.84	114.31	106.22	90.91	116.25	233.61	249.11	102.55	147.23	272.13	356.23	104.75	98.52	112.57	101.62	503.56	158.41	151.34	129.37	173.76	371.52	408.26	429.22	386.69	378.52	335.00	338.96	349.52	355.50	312.94	363.05	358.74	272.27	310.00	327.11	378.75	503.63	395.85	482.39	393.04	378.44	502.02	348.65	388.90	447.99	383.11	420.82	332.82	343.87	335.98	362.63
CLUG_04880	108705	134.11	139.57	106.45	145.50	141.69	123.12	131.75	91.48	129.21	274.86	263.03	116.69	163.90	276.89	437.38	113.68	111.09	117.69	111.08	496.17	173.03	165.89	141.90	182.09	378.49	422.58	447.39	387.06	387.87	356.23	355.41	356.83	359.67	327.07	374.70	368.23	245.13	294.35	330.02	409.19	530.91	417.60	514.36	423.69	382.49	489.53	349.63	444.64	485.56	411.88	427.18	334.09	351.48	375.67	384.83
CLUG_04881	110950	109.64	131.45	106.93	135.65	133.81	110.86	106.46	88.55	115.12	222.93	233.06	113.77	130.08	254.43	356.05	106.05	92.53	112.45	95.64	488.96	158.05	149.70	112.08	159.09	369.47	412.76	405.14	380.45	363.46	324.84	329.36	340.56	346.66	305.99	346.88	345.73	257.08	286.66	322.21	372.91	487.92	389.38	475.67	386.58	373.01	486.34	348.79	402.68	455.84	378.73	406.32	326.79	331.71	343.30	350.25
CLUG_04882	111013	112.32	133.12	108.68	139.38	137.59	113.37	108.10	91.41	115.66	227.12	241.36	115.69	132.46	265.85	362.50	109.60	93.56	115.36	97.85	498.38	159.60	156.70	115.59	162.18	373.56	419.74	411.70	384.65	369.91	332.06	333.68	349.33	352.09	310.50	349.45	353.11	261.86	295.37	328.94	376.50	492.34	396.18	485.40	390.18	377.87	491.91	355.86	406.28	463.30	386.44	413.29	332.26	341.67	349.98	356.67
CLUG_04883	112769	143.68	165.93	115.74	165.45	147.58	135.15	115.87	115.51	119.85	247.08	322.91	125.35	161.74	326.06	444.74	140.27	115.84	128.64	117.65	597.39	193.26	169.35	145.58	207.39	395.00	470.52	452.69	418.21	413.54	367.22	393.74	379.27	399.55	321.00	365.99	380.79	291.26	301.24	347.26	420.16	529.77	434.49	540.97	430.86	388.29	526.81	369.82	441.71	469.99	411.85	444.31	373.31	370.79	389.77	375.82
CLUG_04884	114315	110.24	118.58	89.84	112.79	108.77	108.76	96.06	78.10	112.07	203.83	221.93	99.33	124.00	235.52	295.11	76.56	79.24	93.40	92.33	451.45	144.32	132.74	110.60	141.91	399.44	423.21	432.60	404.80	389.70	364.73	351.99	364.77	364.73	340.80	361.46	364.79	398.36	418.40	367.98	414.91	545.60	422.28	512.19	413.14	397.12	528.01	385.09	432.32	489.72	414.91	438.80	359.28	357.42	374.41	378.12
CLUG_04885	114360	109.70	117.97	89.45	111.88	108.45	108.41	95.29	77.62	111.91	202.26	221.58	98.85	123.87	234.64	293.58	75.70	78.57	93.42	91.35	450.74	144.01	132.41	109.97	140.76	399.65	422.63	431.70	404.40	388.85	364.57	351.07	364.25	364.68	340.99	362.10	364.81	399.37	418.46	367.43	413.73	545.18	421.38	510.71	412.75	396.88	527.55	384.26	430.87	489.33	414.04	438.52	358.44	356.85	373.43	378.20
CLUG_04886	119645	79.98	114.28	86.82	112.96	109.48	102.97	91.19	81.47	102.12	196.18	205.99	92.74	97.51	237.06	305.49	80.02	71.25	91.53	95.94	428.03	133.87	136.84	101.41	144.70	341.44	374.20	367.47	350.22	307.53	329.90	320.96	309.24	308.30	305.03	320.88	304.08	254.80	284.58	292.26	322.15	436.76	356.07	451.29	353.13	334.07	438.26	305.64	363.76	427.15	350.06	343.41	283.51	304.75	311.07	311.71
CLUG_04887	120314	136.29	140.21	90.33	135.55	129.69	122.57	109.36	80.44	135.50	213.37	235.83	111.50	135.30	260.33	382.88	107.84	94.09	113.64	108.77	472.34	173.41	145.00	122.52	164.05	363.92	397.56	394.45	363.98	337.41	326.64	325.56	312.95	345.26	295.88	350.03	337.11	245.75	274.45	310.79	332.79	469.41	375.19	466.41	357.26	327.94	465.41	322.30	341.82	419.32	341.36	381.66	310.06	340.02	334.14	325.13
CLUG_04888	122671	111.98	124.95	90.50	129.09	104.30	107.70	95.52	84.05	115.86	204.79	245.42	110.28	133.02	258.52	321.37	102.72	96.98	100.47	105.73	467.18	144.40	148.59	108.06	147.30	386.70	433.48	460.65	408.94	396.28	372.12	368.44	368.95	369.04	328.04	376.52	391.07	352.75	384.16	337.52	402.26	514.30	425.56	475.80	432.98	401.46	525.62	359.65	402.91	482.04	400.24	427.42	340.95	369.79	369.73	344.56
CLUG_04889	125171	102.01	119.86	81.22	122.08	106.35	114.95	101.42	80.22	101.43	190.22	221.31	97.11	129.35	221.31	317.67	80.96	91.56	97.97	83.62	438.85	147.46	133.29	99.03	142.45	338.31	401.11	388.15	373.11	363.36	326.29	312.76	324.35	321.66	293.92	309.38	335.83	269.42	286.05	343.02	378.11	477.42	395.56	480.95	372.75	338.00	444.51	352.39	402.47	449.01	394.75	397.31	321.35	317.97	327.09	355.28
CLUG_04890	126959	96.92	118.18	87.00	119.08	106.14	98.21	92.41	81.56	99.07	188.33	213.59	95.05	112.21	215.41	309.36	80.76	82.83	96.10	90.77	425.62	133.63	128.73	105.01	140.64	334.88	363.50	364.09	353.81	333.21	307.02	301.79	314.73	318.90	280.82	320.24	325.73	284.93	314.81	321.86	346.05	478.88	369.17	475.29	385.54	334.54	438.67	340.05	383.11	426.42	355.03	393.47	316.53	313.60	315.34	332.62
CLUG_04891	131248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	183.50	2.75	0.00	0.24	0.95	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.83	0.00	0.00	337.63	388.08	502.07	425.36	515.38	431.66	0.48	0.00	375.71	420.39	464.91	411.40	459.74	352.27	0.00	0.48	364.51
CLUG_04892	132627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	202.58	1.95	0.00	0.00	1.42	0.00	0.00	0.00	0.20	0.00	0.03	0.00	0.40	0.00	0.00	345.09	370.80	538.24	417.12	533.40	435.62	1.05	0.00	361.27	400.83	463.25	410.40	428.94	348.17	0.00	0.00	391.14
CLUG_04893	134633	105.96	127.87	99.63	126.21	117.50	108.23	97.51	86.73	111.74	214.34	229.46	104.15	131.11	235.91	337.00	90.37	86.07	103.31	97.60	465.05	154.10	136.14	117.87	146.98	364.70	423.40	411.68	389.59	356.49	328.30	329.32	348.25	343.72	299.92	337.36	347.99	312.57	336.37	300.94	350.96	454.85	396.37	463.02	384.54	353.81	466.90	327.14	373.51	432.92	352.21	368.97	294.08	345.29	334.62	315.34
CLUG_04894	137424	104.23	137.19	105.19	141.79	130.41	117.21	117.03	85.18	112.46	232.54	239.01	114.31	128.05	258.00	369.68	104.55	89.76	111.10	101.02	476.91	154.43	143.99	129.33	148.60	368.08	401.42	408.91	367.57	344.22	338.63	318.05	349.48	351.73	312.01	350.52	345.09	277.33	306.19	318.84	350.67	480.42	385.35	493.95	386.53	355.53	482.32	325.36	370.28	442.58	345.12	392.53	306.72	355.44	343.81	333.58
