GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05611	145.98	372.95	145.41	184.99	155.72	167.89	149.43	131.27	139.88	278.83	156.67	148.90	159.80	347.65	549.21	126.32	120.10	138.83	140.38	609.34	221.10	201.91	165.17	198.98	463.63	488.17	524.83	455.95	474.40	414.34	403.71	445.75	413.40	370.02	452.72	407.66	327.89	360.85	410.20	508.74	434.78	521.77	408.08	361.18	419.81	474.27	412.25	444.56	348.93	423.72	408.19	372.77
CLUG_05612	149.84	341.67	139.35	171.39	164.72	164.57	147.47	120.39	146.24	276.84	177.26	127.75	153.08	342.84	532.74	128.44	120.17	132.82	124.70	583.51	219.46	194.21	157.71	196.25	412.19	458.73	486.08	435.70	448.04	404.10	391.17	433.46	390.72	355.78	424.51	391.94	293.19	338.30	389.61	511.13	393.69	472.96	420.19	346.72	400.83	451.50	378.26	406.43	314.88	385.97	394.21	350.97
CLUG_05613	127.64	301.87	118.51	152.43	144.88	142.76	124.81	106.52	126.29	238.08	145.62	123.11	154.36	293.49	461.91	98.85	101.58	113.31	107.25	510.10	199.46	169.37	142.95	179.58	395.18	422.15	465.43	427.60	426.58	383.01	352.43	394.13	360.98	322.21	398.80	391.47	351.45	307.52	355.78	492.90	383.27	466.32	375.88	331.98	379.70	428.77	366.35	388.82	324.44	369.14	362.72	330.95
CLUG_05614	149.02	383.50	155.00	209.48	181.73	170.89	144.52	136.67	153.24	253.22	177.27	155.08	169.27	396.33	599.85	151.65	130.15	154.61	131.56	631.25	237.95	196.10	158.33	204.89	462.28	533.53	511.82	486.58	471.18	441.13	406.34	459.67	426.03	378.71	440.63	428.59	308.33	360.19	379.47	527.53	435.72	503.98	402.67	391.28	408.90	484.88	403.78	448.21	355.14	421.42	397.51	364.60
CLUG_05615	130.97	314.15	128.00	158.64	151.80	145.55	123.04	101.30	131.68	244.04	144.37	123.04	142.76	299.37	483.04	118.79	112.83	124.67	121.43	553.84	196.30	166.58	136.68	185.37	401.33	454.19	457.86	420.07	418.70	375.51	353.53	399.25	361.52	326.30	411.40	395.63	324.02	308.21	348.61	456.58	370.77	450.57	393.80	321.48	368.58	435.51	365.70	373.81	304.78	378.72	364.20	325.79
CLUG_05616	117.74	308.73	118.27	154.00	145.11	142.17	116.15	101.36	134.15	227.95	148.86	124.26	153.11	302.83	459.52	112.01	111.02	105.98	117.79	514.08	188.08	169.65	130.41	173.42	402.87	440.06	445.65	418.42	420.41	362.29	350.49	388.79	356.18	337.11	395.03	390.82	321.99	298.54	348.67	450.72	368.30	456.31	372.66	324.81	367.00	405.12	341.86	395.09	285.45	356.30	360.71	319.12
CLUG_05617	119.13	304.26	114.21	151.26	146.24	139.33	116.80	99.16	136.18	227.99	154.55	125.15	155.33	298.85	461.93	110.75	111.89	106.94	119.81	509.69	190.54	167.26	130.95	169.30	398.18	439.87	447.02	421.64	419.27	363.52	350.50	388.13	351.97	340.38	390.46	396.71	326.86	298.57	351.27	453.99	368.73	455.40	372.90	330.66	364.75	405.53	340.72	401.23	285.16	353.65	363.99	322.54
CLUG_05618	131.05	333.81	118.57	161.92	147.54	137.63	126.02	112.87	133.36	243.49	153.44	132.51	146.98	312.87	480.87	121.10	114.20	107.92	125.43	539.45	200.66	172.88	141.32	183.09	392.85	432.14	463.39	418.42	433.87	362.68	357.78	399.70	355.17	345.85	414.45	399.16	298.05	307.20	327.13	451.91	382.58	453.98	374.06	321.62	365.39	412.34	340.47	371.37	292.99	374.06	370.02	332.01
CLUG_05619	104.25	259.11	97.18	117.78	117.32	115.83	95.95	86.43	106.89	209.72	120.93	101.77	118.71	243.69	358.48	81.75	84.21	97.25	92.08	440.62	165.87	140.79	124.34	156.26	362.60	429.68	405.60	390.81	403.66	354.93	337.06	361.98	353.60	326.62	393.26	366.99	359.56	286.40	323.14	433.16	358.61	432.71	348.60	301.60	355.13	393.73	323.73	363.84	287.37	355.28	340.45	295.25
CLUG_05620	86.96	233.22	93.01	116.79	116.30	96.40	86.04	80.44	102.00	179.55	112.79	82.26	106.99	238.47	374.02	88.53	87.69	93.59	96.68	370.60	159.40	134.93	94.34	191.47	289.58	334.46	339.75	308.30	313.08	286.13	268.92	288.89	257.53	258.63	270.44	316.64	224.65	241.20	278.89	334.27	278.34	339.35	296.31	232.43	276.57	320.11	270.28	272.20	224.33	276.32	267.27	242.41
CLUG_05621	113.09	286.29	104.45	141.22	130.44	121.16	105.34	98.72	116.56	219.65	129.33	111.67	134.36	261.14	408.34	101.01	98.13	99.96	106.04	484.46	183.83	155.69	116.25	149.65	391.20	437.00	447.13	418.33	416.62	370.41	351.82	387.74	355.74	351.32	385.79	401.40	379.36	307.87	346.34	447.71	373.80	454.20	377.42	321.96	354.33	412.87	340.23	364.59	293.04	373.15	366.18	327.44
CLUG_05622	104.15	269.41	96.99	131.60	121.33	116.47	93.18	91.76	116.97	201.89	128.83	111.75	123.43	246.50	388.81	88.23	99.20	98.25	99.06	438.90	173.70	133.39	114.51	163.83	366.37	390.46	404.98	370.03	381.40	330.24	308.72	357.32	320.47	302.99	376.16	348.22	265.34	250.59	299.49	388.67	338.95	395.87	323.72	282.65	324.56	368.92	297.37	310.36	252.22	333.07	308.72	293.59
CLUG_05623	115.71	293.18	98.64	150.12	149.40	139.30	118.82	113.56	137.38	212.42	125.92	116.92	138.83	285.93	426.98	105.88	105.65	112.98	111.58	496.52	182.38	156.57	117.74	174.49	393.59	437.69	445.62	409.11	397.21	360.49	361.43	386.43	349.16	334.02	379.96	363.61	310.93	278.65	330.29	425.57	354.33	419.72	376.37	312.52	355.75	394.34	338.91	355.56	279.26	367.74	365.63	319.94
CLUG_05624	121.92	289.50	104.30	156.69	136.94	126.70	106.60	101.19	129.41	222.88	125.29	126.37	141.92	291.04	431.46	113.86	93.18	92.78	107.25	485.51	179.15	153.05	123.36	169.08	374.25	412.24	418.18	393.72	386.18	345.67	330.74	372.15	345.91	336.90	366.41	379.17	291.45	277.43	305.68	420.02	343.56	417.97	326.01	306.97	334.12	380.55	325.65	342.53	277.51	352.36	338.98	289.19
CLUG_05625	82.71	218.24	86.68	113.78	99.95	87.17	90.03	76.51	103.84	166.60	108.30	86.16	102.54	225.09	347.50	98.81	82.75	87.76	82.99	360.61	128.03	117.72	101.36	216.76	289.75	312.62	306.74	298.38	277.91	256.94	256.14	266.14	259.05	262.02	301.65	271.44	189.11	194.74	229.80	308.68	263.87	315.24	271.98	221.86	257.95	275.05	242.79	263.90	201.44	241.19	262.53	226.71
CLUG_05626	80.60	201.36	69.92	101.52	101.69	79.33	73.43	67.11	86.35	149.19	98.68	83.81	96.04	191.16	275.83	66.23	76.63	82.64	75.54	342.97	128.45	121.14	88.64	160.54	263.46	292.58	301.54	293.74	255.23	232.70	231.83	270.17	239.37	225.48	265.47	260.53	226.96	195.75	218.36	291.48	249.66	304.46	249.80	197.07	230.71	261.61	225.09	244.94	193.97	241.48	238.70	207.47
CLUG_05627	95.49	238.02	82.70	120.32	120.49	93.95	86.98	79.36	102.11	176.59	116.92	99.17	113.83	226.34	326.05	78.26	90.83	98.03	89.55	406.14	152.27	143.41	104.82	153.96	311.93	346.26	357.29	347.63	302.03	275.78	274.80	319.67	283.73	267.09	314.34	308.63	268.59	231.61	258.78	344.94	295.75	360.56	295.89	233.38	273.05	309.76	266.63	290.30	229.52	285.93	282.74	245.70
CLUG_05628	126.27	306.64	116.26	149.40	137.47	125.23	111.28	106.12	130.69	238.19	143.36	119.19	153.90	311.32	462.43	118.54	110.31	120.97	121.99	527.36	197.95	161.59	130.46	175.23	408.21	465.37	468.83	446.97	443.98	367.52	360.08	426.14	375.00	358.53	416.84	408.06	306.80	289.09	344.34	434.53	379.47	459.73	380.18	324.58	361.50	409.53	326.95	379.70	299.18	391.78	375.09	327.50
CLUG_05629	117.32	273.32	114.48	141.74	149.32	136.86	106.86	94.19	141.29	223.59	129.98	122.03	124.82	282.14	452.35	103.37	111.65	111.27	110.88	488.66	171.87	163.24	132.59	145.17	389.70	472.87	411.73	420.74	432.15	361.74	366.23	393.27	371.25	332.62	377.46	385.05	270.50	279.49	339.36	413.76	339.75	447.55	352.55	295.15	335.36	392.52	311.39	350.07	271.50	333.45	337.00	312.29
CLUG_05630	115.12	294.95	122.32	141.47	132.27	116.73	115.04	92.83	127.90	230.13	123.97	119.08	143.14	282.29	437.15	105.33	100.38	116.71	117.96	482.93	185.90	167.53	141.90	169.73	401.09	461.81	453.47	427.85	433.55	374.44	353.61	395.98	352.01	357.74	378.51	382.76	330.48	291.35	327.43	414.46	355.19	427.43	361.16	306.21	352.92	393.02	332.67	361.66	274.56	385.57	366.23	293.56
CLUG_05631	109.79	292.59	116.17	143.24	119.28	116.51	117.08	87.85	123.79	225.19	127.26	112.30	142.92	268.23	439.70	98.00	101.15	115.89	112.53	482.08	180.04	162.82	131.87	164.36	404.50	463.98	453.24	441.77	452.11	377.79	358.28	391.85	359.86	377.61	388.96	398.91	354.65	296.08	334.02	422.21	369.02	433.02	370.10	312.98	367.09	404.63	341.06	378.31	281.98	389.40	379.42	308.44
CLUG_05632	118.78	282.22	103.40	136.24	132.36	120.67	108.01	97.93	123.93	218.01	131.31	119.71	132.54	278.11	397.25	100.63	99.53	110.97	104.94	489.51	172.56	145.32	124.43	154.70	423.45	476.54	477.86	462.49	454.92	395.93	372.43	411.66	397.12	365.93	401.35	403.06	399.48	307.43	348.62	453.95	400.46	466.15	393.91	338.30	371.80	410.22	346.57	375.64	306.10	391.82	380.34	323.49
CLUG_05633	114.62	281.34	101.45	136.33	131.93	120.84	108.02	97.82	123.87	213.98	127.58	120.86	132.55	274.02	395.34	97.80	99.09	107.44	103.07	484.87	175.40	144.82	121.37	153.25	420.77	471.60	473.32	461.65	457.59	394.88	373.90	411.88	395.11	362.81	404.08	404.17	403.48	308.85	349.62	455.43	402.58	464.87	393.44	336.88	373.53	407.80	347.69	377.60	306.92	391.99	376.25	321.27
CLUG_05634	130.02	293.45	109.73	147.65	139.49	115.56	111.84	105.92	130.33	229.52	133.38	119.06	149.11	303.97	453.08	107.91	108.86	117.14	119.23	515.69	190.56	172.24	128.79	163.59	407.90	435.33	465.09	443.02	433.26	365.83	365.84	392.36	375.55	334.94	387.38	382.23	293.35	288.32	316.61	411.50	363.80	443.23	391.55	280.22	345.83	381.77	320.59	367.83	285.10	368.22	373.34	317.03
CLUG_05635	139.34	311.34	132.54	178.78	172.62	125.89	125.45	109.81	140.22	242.71	144.63	127.68	152.30	338.08	483.06	118.97	109.88	131.32	122.55	574.34	190.47	180.98	150.06	172.60	431.48	465.09	471.49	459.22	434.49	374.87	358.19	426.45	384.97	368.85	402.12	388.00	266.17	301.78	315.14	419.27	388.58	442.48	381.70	330.37	353.01	392.78	327.39	363.30	280.80	369.79	366.95	303.12
CLUG_05636	125.14	311.40	104.10	155.16	135.63	120.34	114.49	103.61	125.63	229.52	136.47	126.73	147.49	291.15	449.18	109.28	102.20	126.47	113.45	512.35	185.26	163.69	134.47	158.33	414.02	457.34	470.06	454.09	430.21	382.29	385.72	401.46	403.03	357.86	413.06	407.11	342.95	296.70	320.12	430.59	387.65	463.07	383.99	318.16	351.05	401.46	331.32	352.92	294.93	377.60	367.28	317.58
CLUG_05637	114.13	292.31	104.16	140.09	124.80	118.73	94.14	89.18	122.89	234.21	122.82	122.75	143.45	276.24	419.78	100.02	114.86	116.70	111.89	491.37	180.24	154.68	119.53	148.22	414.06	462.73	482.11	450.82	429.17	373.22	357.67	410.85	398.14	343.32	381.74	380.53	356.02	288.22	338.26	403.93	370.97	475.29	403.71	313.79	356.89	400.82	326.44	375.89	290.68	353.83	367.44	317.17
CLUG_05638	137.01	301.79	109.10	126.83	138.84	107.83	117.67	96.96	117.45	225.42	134.22	121.65	130.67	312.20	434.55	111.94	117.08	115.78	118.71	529.61	174.62	173.44	141.86	169.88	429.91	435.45	448.17	443.47	418.39	369.61	384.75	386.71	353.11	325.34	367.16	382.38	303.62	286.81	328.51	391.85	359.77	421.55	409.04	310.83	336.73	388.09	334.65	332.18	287.60	373.99	348.10	316.17
CLUG_05639	143.01	307.86	111.62	131.32	143.37	118.23	121.01	103.19	129.81	233.42	144.28	121.97	137.83	314.40	448.10	112.75	114.07	121.45	119.27	549.95	179.25	177.28	145.40	172.12	434.56	439.80	461.24	455.89	421.84	378.00	379.61	391.75	368.60	334.29	374.64	384.43	312.54	295.53	331.81	402.40	369.35	444.64	410.97	314.65	339.63	394.76	342.49	343.95	294.13	382.11	357.24	316.25
CLUG_05640	111.02	268.94	100.71	139.82	135.65	112.57	108.37	95.29	116.15	207.81	122.30	113.86	129.11	264.82	394.64	101.64	96.03	106.80	110.50	464.30	156.89	142.01	115.03	146.87	391.35	404.06	442.69	423.93	393.59	342.74	333.52	340.97	359.21	338.34	358.20	353.01	277.42	267.50	294.10	377.09	349.05	426.38	361.59	287.95	331.02	361.75	299.63	318.08	259.57	337.44	339.08	280.18
CLUG_05641	131.11	285.09	119.85	156.12	142.36	124.47	124.65	103.69	131.55	243.62	141.06	131.59	146.83	305.47	457.99	108.07	100.67	135.79	110.49	538.67	184.26	164.66	133.67	165.36	425.59	458.40	469.70	438.04	426.22	369.36	403.67	412.60	369.87	362.10	396.86	360.30	295.19	277.36	317.47	406.27	380.02	465.28	393.40	312.51	323.74	380.03	334.48	364.73	289.91	388.03	358.66	314.40
CLUG_05642	123.37	271.21	107.46	148.28	141.51	125.04	127.49	97.68	127.79	236.76	135.48	133.58	145.03	296.47	442.70	100.77	97.28	129.62	104.06	520.00	174.78	156.07	129.84	161.01	412.08	448.65	468.54	423.86	416.52	363.95	397.02	400.15	350.24	356.54	390.56	351.53	278.58	270.31	313.13	398.98	371.07	448.59	395.49	302.91	313.42	376.85	330.59	362.75	277.18	376.73	349.45	301.73
CLUG_05643	125.25	287.59	113.69	148.55	143.49	116.79	112.27	112.43	137.68	247.37	138.71	128.68	145.35	289.71	437.53	114.02	103.73	117.89	121.54	532.44	170.65	168.50	144.25	168.22	394.74	440.86	468.31	429.59	424.59	371.74	371.99	396.31	406.00	357.08	377.55	379.04	290.75	276.58	298.19	395.01	361.46	449.24	387.28	288.44	354.45	393.11	320.03	357.54	288.01	362.39	362.06	306.62
CLUG_05644	126.41	292.80	112.97	149.03	139.96	116.93	106.34	97.32	125.18	221.67	134.73	118.13	143.41	285.46	442.52	108.74	106.86	112.40	104.93	502.08	169.65	154.90	126.17	154.58	392.00	418.87	436.24	434.42	388.09	359.01	353.63	364.98	372.14	330.77	379.19	359.70	275.33	255.51	297.63	385.81	353.13	422.46	359.15	272.78	318.95	361.13	301.43	325.45	263.27	349.69	334.84	278.99
CLUG_05645	118.38	322.49	125.05	152.18	142.52	131.80	117.42	97.86	123.06	239.81	143.29	140.19	156.16	313.20	442.38	117.87	100.31	119.69	108.53	524.19	160.70	178.20	128.11	163.58	396.23	462.17	444.41	458.86	423.06	364.28	341.59	403.50	396.57	332.22	367.15	354.14	303.47	264.10	325.16	373.00	367.74	450.75	394.93	302.27	333.89	362.78	320.19	352.36	264.40	364.83	349.49	299.33
CLUG_05646	119.73	297.20	102.37	154.54	139.19	122.55	103.33	88.84	129.00	233.17	142.44	118.26	142.05	283.78	431.22	105.57	102.67	117.79	104.71	496.17	179.01	163.38	126.96	156.28	404.50	445.46	470.98	432.24	407.08	357.01	372.69	416.24	385.16	340.08	353.68	363.51	298.20	276.46	295.05	398.11	357.43	466.80	377.63	302.81	337.71	367.35	312.35	339.22	273.70	365.24	375.40	320.27
CLUG_05647	117.26	269.74	104.19	132.44	136.49	115.39	107.27	89.62	120.14	212.22	131.18	115.11	128.09	272.93	395.91	98.46	100.74	105.52	106.79	480.10	162.10	153.37	128.51	153.70	385.37	416.15	448.59	418.57	391.75	346.84	357.32	387.98	367.52	333.36	356.61	355.37	341.92	269.36	299.03	383.39	353.15	431.72	382.51	280.61	340.05	351.38	299.08	338.37	272.27	367.20	357.10	296.17
CLUG_05648	147.04	309.18	114.53	171.29	165.61	119.57	134.18	127.29	146.65	246.47	144.59	128.22	159.31	332.68	525.88	117.58	118.41	139.01	127.04	601.14	208.31	173.58	159.26	171.99	404.92	449.56	447.96	464.55	416.49	367.88	368.16	406.77	370.77	348.88	348.61	356.42	290.92	273.43	308.32	412.48	373.91	466.04	367.09	298.57	337.63	398.97	321.89	356.94	271.37	359.23	358.17	302.46
CLUG_05649	124.91	282.98	96.66	150.26	138.37	117.75	105.51	93.99	115.88	231.92	128.63	124.05	137.53	289.91	419.58	109.97	99.12	118.28	98.06	487.44	168.78	158.05	127.58	162.56	391.99	427.68	445.48	433.86	402.72	361.56	365.96	394.02	365.46	350.29	369.15	367.28	352.07	276.04	302.66	388.71	377.53	445.96	389.98	287.42	329.90	370.15	324.93	358.50	265.85	363.40	352.80	299.12
CLUG_05650	108.16	260.19	95.83	123.42	107.73	99.86	100.53	86.05	104.44	211.95	112.65	116.71	116.00	234.88	332.54	84.97	94.76	86.75	95.58	444.67	161.72	148.40	129.82	140.25	366.85	402.69	435.19	405.84	359.52	318.37	322.43	358.16	346.42	305.58	354.11	319.24	303.27	267.84	273.39	337.79	321.46	395.29	343.77	250.57	285.51	317.89	275.08	304.46	252.54	306.85	289.05	277.22
CLUG_05651	113.72	271.74	101.12	125.54	109.17	100.03	103.83	90.72	101.29	223.81	119.83	129.74	121.61	244.62	357.53	86.52	96.69	86.49	93.84	446.42	175.63	150.43	131.90	147.74	370.94	415.97	449.64	419.52	369.32	332.79	331.39	354.43	338.54	309.85	366.04	320.86	308.77	277.62	282.92	341.75	335.66	405.29	357.58	250.16	291.25	313.33	279.52	314.20	253.12	308.91	292.52	287.64
CLUG_05652	137.65	280.58	106.50	133.29	119.01	106.62	104.28	87.29	122.12	218.17	120.97	126.86	128.72	307.07	424.96	103.77	102.63	105.12	97.77	499.56	177.84	143.90	127.71	154.26	405.37	432.83	458.44	443.57	404.43	338.82	334.12	381.01	381.62	328.28	341.98	353.20	262.56	255.10	308.02	340.10	345.52	418.72	379.75	276.03	315.58	337.57	294.15	352.24	272.88	348.00	343.44	297.05
CLUG_05653	133.39	284.76	102.06	142.00	132.36	141.67	107.78	113.41	125.78	220.47	150.01	133.69	148.76	294.92	487.26	114.74	107.36	129.31	112.06	562.81	171.98	168.92	138.43	147.98	445.69	429.93	470.71	464.79	395.39	355.72	361.09	382.23	389.17	305.97	353.04	363.44	260.81	241.24	283.30	374.96	328.13	420.14	404.03	283.34	329.82	357.57	292.34	331.75	266.52	345.54	364.31	282.40
CLUG_05654	111.06	273.05	110.15	133.41	138.23	118.79	97.58	97.18	112.47	228.78	129.99	115.03	132.14	270.48	417.34	104.46	89.91	108.91	97.73	501.86	164.50	150.96	137.39	149.68	397.88	401.90	460.02	418.55	381.89	344.16	355.46	381.28	377.22	322.24	367.04	341.09	285.54	262.40	277.44	371.48	351.47	413.34	381.79	271.71	332.53	342.81	286.17	321.17	260.61	348.74	343.83	284.99
CLUG_05655	128.35	309.76	126.77	168.33	150.57	140.60	130.14	104.69	144.58	255.26	158.24	123.17	157.36	319.85	510.48	141.80	103.51	125.61	115.92	565.54	190.40	170.46	149.89	174.22	418.03	459.63	463.01	442.62	421.11	368.21	374.75	405.27	404.26	356.64	346.58	355.84	236.43	277.56	298.80	361.22	350.10	451.19	392.76	287.57	339.90	379.93	291.46	342.76	275.91	362.22	351.42	294.93
CLUG_05656	134.02	291.67	111.48	153.12	148.87	128.74	117.93	117.25	135.47	237.50	152.14	130.20	145.91	321.90	480.25	115.16	106.50	120.35	113.69	541.62	182.79	170.98	143.44	165.98	418.98	426.76	462.09	439.28	409.30	372.40	367.77	398.01	393.13	342.34	374.74	357.61	268.32	268.23	293.73	376.71	353.25	445.75	387.13	269.06	328.93	357.39	308.32	342.69	267.92	363.56	357.50	296.23
CLUG_05657	145.74	306.54	127.06	155.89	153.08	137.55	132.32	118.32	142.69	237.73	158.64	132.80	153.84	336.38	498.19	134.07	114.21	129.35	116.46	570.29	195.59	185.72	143.22	163.75	448.64	462.22	506.11	463.51	429.83	382.19	389.47	414.86	422.13	343.04	375.88	379.95	255.51	281.78	300.12	390.65	379.70	449.45	416.13	294.69	358.97	375.70	306.86	364.22	274.71	367.70	374.81	316.86
CLUG_05658	145.25	300.64	117.36	157.29	147.86	124.91	122.53	106.49	127.70	231.60	153.45	136.09	148.16	314.61	454.92	129.54	119.26	127.66	108.97	541.27	169.43	174.46	142.45	159.39	421.37	449.35	477.82	449.25	406.73	387.99	372.34	391.94	401.86	343.22	358.98	361.83	259.15	277.00	299.63	381.78	374.52	470.25	387.05	287.89	349.54	373.30	295.94	350.82	275.71	366.62	392.40	294.97
CLUG_05659	127.11	257.29	93.92	140.50	142.95	115.41	114.49	99.67	132.31	219.85	147.29	117.18	130.70	302.64	426.05	94.78	98.01	124.91	101.06	486.42	166.73	168.84	131.81	175.42	452.70	425.26	447.70	432.14	410.90	384.87	347.46	406.97	406.11	334.67	358.47	356.73	251.62	271.81	301.19	362.62	355.34	432.62	387.74	270.02	318.80	353.85	281.94	328.08	242.53	376.37	340.74	278.35
CLUG_05660	147.60	319.66	121.59	159.43	153.51	137.39	132.13	117.06	147.37	257.06	158.41	128.87	162.32	328.31	515.76	132.25	115.19	135.17	121.53	569.81	195.25	178.92	153.71	179.03	455.67	468.98	494.28	461.12	424.74	389.83	391.71	424.37	404.29	349.03	365.25	363.64	265.28	287.58	305.65	388.87	383.35	459.36	402.49	304.90	350.47	369.32	309.49	351.66	282.17	375.94	371.89	292.63
CLUG_05661	141.61	312.15	128.07	159.49	152.28	136.17	122.71	107.70	141.91	259.22	157.43	129.16	153.28	331.57	486.45	131.30	114.87	121.99	111.25	566.57	194.61	178.24	140.26	184.15	408.14	432.37	452.56	448.25	376.71	366.09	365.90	401.30	388.66	331.07	366.28	353.98	233.32	287.68	288.16	371.24	371.70	439.75	377.95	273.42	332.77	370.54	302.31	330.44	279.91	361.48	360.21	287.38
