STRAIN,READ,PAIR1_CHR,PAIR1_POSITION,PAIR2_CHR,PAIR2_POSITION
A8.U2E,NS500350:127:H7FHLBGXX:1:13105:6347:11981,Supercontig_1.6,686909,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:13505:8021:16803,Supercontig_1.6,686910,Supercontig_1.6,726772
A8.U2E,NS500350:127:H7FHLBGXX:1:11202:22931:3732,Supercontig_1.6,686911,Supercontig_1.6,726774
A8.U2E,NS500350:127:H7FHLBGXX:4:13601:22237:8011,Supercontig_1.6,686912,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:13205:16737:15265,Supercontig_1.6,686913,Supercontig_1.6,726824
A8.U2E,NS500350:127:H7FHLBGXX:4:21409:6424:1343,Supercontig_1.6,686913,Supercontig_1.6,726774
A8.U2E,NS500350:127:H7FHLBGXX:2:12212:24059:3262,Supercontig_1.6,686916,Supercontig_1.6,726850
A8.U2E,NS500350:127:H7FHLBGXX:2:13304:18487:18725,Supercontig_1.6,686916,Supercontig_1.6,726805
A8.U2E,NS500350:127:H7FHLBGXX:1:13104:25532:6500,Supercontig_1.6,686919,Supercontig_1.6,726771
A8.U2E,NS500350:127:H7FHLBGXX:3:21509:22976:4391,Supercontig_1.6,686920,Supercontig_1.6,726896
A8.U2E,NS500350:127:H7FHLBGXX:3:23510:9990:16159,Supercontig_1.6,686920,Supercontig_1.6,726798
A8.U2E,NS500350:127:H7FHLBGXX:1:13201:22036:4807,Supercontig_1.6,686922,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:4:13501:11116:9384,Supercontig_1.6,686925,Supercontig_1.6,726767
A8.U2E,NS500350:127:H7FHLBGXX:2:12112:16088:11405,Supercontig_1.6,686933,Supercontig_1.6,726797
A8.U2E,NS500350:127:H7FHLBGXX:2:13202:21034:8897,Supercontig_1.6,686935,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:23407:19390:20170,Supercontig_1.6,686935,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:12110:1841:6867,Supercontig_1.6,686936,Supercontig_1.6,726811
A8.U2E,NS500350:127:H7FHLBGXX:1:23112:15241:7831,Supercontig_1.6,686937,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:11107:13025:2756,Supercontig_1.6,686938,Supercontig_1.6,726834
A8.U2E,NS500350:127:H7FHLBGXX:3:11607:4713:12429,Supercontig_1.6,686938,Supercontig_1.6,726769
A8.U2E,NS500350:127:H7FHLBGXX:3:11607:4713:12429,Supercontig_1.6,686938,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:23302:13734:4014,Supercontig_1.6,686946,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:22309:3427:16667,Supercontig_1.6,686947,Supercontig_1.6,726840
A8.U2E,NS500350:127:H7FHLBGXX:4:11604:6694:15641,Supercontig_1.6,686947,Supercontig_1.6,726874
A8.U2E,NS500350:127:H7FHLBGXX:2:22103:11133:16834,Supercontig_1.6,686948,Supercontig_1.6,726834
A8.U2E,NS500350:127:H7FHLBGXX:4:23410:15681:6011,Supercontig_1.6,686948,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:4:23410:15681:6011,Supercontig_1.6,686948,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:23302:13734:4014,Supercontig_1.6,686949,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:4:11401:21028:2315,Supercontig_1.6,686949,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:21304:20589:14792,Supercontig_1.6,686949,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:12407:17703:1906,Supercontig_1.6,686949,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:21304:20589:14792,Supercontig_1.6,686950,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:12407:17703:1906,Supercontig_1.6,686950,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:13202:21034:8897,Supercontig_1.6,686952,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:21302:6647:15496,Supercontig_1.6,686953,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:21302:6647:15496,Supercontig_1.6,686953,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:23105:1665:14106,Supercontig_1.6,686954,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:3:12509:11087:5838,Supercontig_1.6,686955,Supercontig_1.6,726820
A8.U2E,NS500350:127:H7FHLBGXX:3:23407:19390:20170,Supercontig_1.6,686955,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:2:22104:3323:17882,Supercontig_1.6,686956,Supercontig_1.6,726869
A8.U2E,NS500350:127:H7FHLBGXX:4:13610:20946:19336,Supercontig_1.6,686956,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:1:23105:1665:14106,Supercontig_1.6,686956,Supercontig_1.6,726766
A8.U2E,NS500350:127:H7FHLBGXX:4:23408:15884:6520,Supercontig_1.6,686959,Supercontig_1.6,726840
A8.U2E,NS500350:127:H7FHLBGXX:2:13212:8625:2005,Supercontig_1.6,686960,Supercontig_1.6,726786
A8.U2E,NS500350:127:H7FHLBGXX:1:23112:15241:7831,Supercontig_1.6,686961,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:23409:3923:2685,Supercontig_1.6,686885,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:1:22105:17350:2629,Supercontig_1.6,686891,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:21508:11952:16348,Supercontig_1.6,686891,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:3:12503:15891:10828,Supercontig_1.6,686896,Supercontig_1.6,726923
A21.S8A,NS500350:127:H7FHLBGXX:2:22112:8592:4281,Supercontig_1.6,686900,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:2:12102:22402:15265,Supercontig_1.6,686910,Supercontig_1.6,726932
A21.S8A,NS500350:127:H7FHLBGXX:3:23404:3327:13272,Supercontig_1.6,686913,Supercontig_1.6,727093
A21.S8A,NS500350:127:H7FHLBGXX:4:22604:5696:11032,Supercontig_1.6,686913,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:23504:9679:9090,Supercontig_1.6,686913,Supercontig_1.6,726849
A21.S8A,NS500350:127:H7FHLBGXX:4:12602:11963:5583,Supercontig_1.6,686918,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:3:13509:5186:6031,Supercontig_1.6,686928,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:2:12103:20645:15755,Supercontig_1.6,686929,Supercontig_1.6,726911
A21.S8A,NS500350:127:H7FHLBGXX:3:23610:10485:7646,Supercontig_1.6,686929,Supercontig_1.6,726826
A21.S8A,NS500350:127:H7FHLBGXX:4:11608:14578:9257,Supercontig_1.6,686933,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:11608:14578:9257,Supercontig_1.6,686936,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:3:21503:17666:6056,Supercontig_1.6,686937,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:12608:23800:17573,Supercontig_1.6,686938,Supercontig_1.6,726862
A21.S8A,NS500350:127:H7FHLBGXX:2:22203:9614:20322,Supercontig_1.6,686939,Supercontig_1.6,726830
A21.S8A,NS500350:127:H7FHLBGXX:2:23112:8740:2976,Supercontig_1.6,686939,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:1:23305:20548:13508,Supercontig_1.6,686941,Supercontig_1.6,726846
A21.S8A,NS500350:127:H7FHLBGXX:4:22511:2096:18976,Supercontig_1.6,686942,Supercontig_1.6,726797
A21.S8A,NS500350:127:H7FHLBGXX:4:12410:21450:10060,Supercontig_1.6,686946,Supercontig_1.6,726984
A21.S8A,NS500350:127:H7FHLBGXX:2:21311:19433:9872,Supercontig_1.6,686946,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:2:21311:19433:9872,Supercontig_1.6,686947,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:4:11612:24009:9298,Supercontig_1.6,686950,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:3:23412:19256:11543,Supercontig_1.6,686951,Supercontig_1.6,726783
A21.S8A,NS500350:127:H7FHLBGXX:4:23508:10645:19958,Supercontig_1.6,686951,Supercontig_1.6,726773
A21.S8A,NS500350:127:H7FHLBGXX:3:21503:17666:6056,Supercontig_1.6,686951,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:1:13310:6797:12380,Supercontig_1.6,686953,Supercontig_1.6,726794
A21.S8A,NS500350:127:H7FHLBGXX:3:13509:5186:6031,Supercontig_1.6,686954,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:2:11211:19808:17860,Supercontig_1.6,686956,Supercontig_1.6,726866
A21.S8A,NS500350:127:H7FHLBGXX:2:23112:8740:2976,Supercontig_1.6,686956,Supercontig_1.6,726766
A21.S8A,NS500350:127:H7FHLBGXX:3:21512:14009:6388,Supercontig_1.6,686958,Supercontig_1.6,726769
A21.S8A,NS500350:127:H7FHLBGXX:4:12506:1868:15869,Supercontig_1.6,686959,Supercontig_1.6,726918
A21.S8A,NS500350:127:H7FHLBGXX:4:12602:11963:5583,Supercontig_1.6,686962,Supercontig_1.6,726766
B29.13MM,NS500537:44:HWF7VBGXX:2:23101:3498:18230,Supercontig_1.6,687091,Supercontig_1.3,154882
A22.UpperP,NS500350:127:H7FHLBGXX:2:23304:14973:10223,Supercontig_1.6,686873,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:1:11207:2186:7957,Supercontig_1.6,686875,Supercontig_1.6,726767
A22.UpperP,NS500350:127:H7FHLBGXX:1:23102:8510:10788,Supercontig_1.6,686880,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:23507:19211:15131,Supercontig_1.6,686891,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:1:21206:21029:9015,Supercontig_1.6,686894,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:22406:2806:18603,Supercontig_1.6,686897,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:21510:26723:14763,Supercontig_1.6,686899,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:21511:1324:14769,Supercontig_1.6,686899,Supercontig_1.6,726787
A22.UpperP,NS500350:127:H7FHLBGXX:2:11205:5673:9794,Supercontig_1.6,686904,Supercontig_1.6,726833
A22.UpperP,NS500350:127:H7FHLBGXX:4:11605:21666:19331,Supercontig_1.6,686906,Supercontig_1.6,726811
A22.UpperP,NS500350:127:H7FHLBGXX:2:23310:7607:3205,Supercontig_1.6,686907,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:1:21104:23254:14206,Supercontig_1.6,686913,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:1:12204:2333:3938,Supercontig_1.6,686917,Supercontig_1.6,726781
A22.UpperP,NS500350:127:H7FHLBGXX:3:12509:6305:3091,Supercontig_1.6,686917,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:22410:23157:14965,Supercontig_1.6,686920,Supercontig_1.6,726806
A22.UpperP,NS500350:127:H7FHLBGXX:1:22108:2475:19429,Supercontig_1.6,686924,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:2:11112:3422:9527,Supercontig_1.6,686928,Supercontig_1.6,726823
A22.UpperP,NS500350:127:H7FHLBGXX:1:12112:2383:12356,Supercontig_1.6,686945,Supercontig_1.6,726770
A22.UpperP,NS500350:127:H7FHLBGXX:3:23408:24852:15886,Supercontig_1.6,686949,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:3:13407:3232:2336,Supercontig_1.6,686951,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:3:21501:16036:6133,Supercontig_1.6,686951,Supercontig_1.6,726792
A22.UpperP,NS500350:127:H7FHLBGXX:3:13610:1939:9479,Supercontig_1.6,686956,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:3:13610:1939:9479,Supercontig_1.6,686956,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:11502:12800:17948,Supercontig_1.6,686956,Supercontig_1.6,726766
A22.UpperP,NS500350:127:H7FHLBGXX:4:11502:12800:17948,Supercontig_1.6,686959,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:21312:10359:14460,Supercontig_1.6,686873,Supercontig_1.6,726783
A6.U5C,NS500350:127:H7FHLBGXX:2:23104:10321:7086,Supercontig_1.6,686875,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:13409:6089:11601,Supercontig_1.6,686875,Supercontig_1.6,726831
A6.U5C,NS500350:127:H7FHLBGXX:2:21102:2643:4852,Supercontig_1.6,686878,Supercontig_1.6,726861
A6.U5C,NS500350:127:H7FHLBGXX:3:12507:25620:6609,Supercontig_1.6,686878,Supercontig_1.6,726775
A6.U5C,NS500350:127:H7FHLBGXX:3:22412:21481:17000,Supercontig_1.6,686878,Supercontig_1.6,726767
A6.U5C,NS500350:127:H7FHLBGXX:2:11310:20562:9843,Supercontig_1.6,686879,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:1:11304:16237:10256,Supercontig_1.6,686882,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:23607:14996:14432,Supercontig_1.6,686882,Supercontig_1.6,726832
A6.U5C,NS500350:127:H7FHLBGXX:4:13402:18408:3137,Supercontig_1.6,686883,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:1:13206:23494:9360,Supercontig_1.6,686884,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:21402:2441:7253,Supercontig_1.6,686884,Supercontig_1.6,726867
A6.U5C,NS500350:127:H7FHLBGXX:2:22303:12071:6811,Supercontig_1.6,686886,Supercontig_1.6,726801
A6.U5C,NS500350:127:H7FHLBGXX:2:23301:26698:4218,Supercontig_1.6,686886,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:22410:10291:9145,Supercontig_1.6,686886,Supercontig_1.6,726840
A6.U5C,NS500350:127:H7FHLBGXX:1:21111:3315:12329,Supercontig_1.6,686889,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:3:12406:24698:10657,Supercontig_1.6,686889,Supercontig_1.6,726797
A6.U5C,NS500350:127:H7FHLBGXX:4:11506:12235:20244,Supercontig_1.6,686889,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:13303:17498:1075,Supercontig_1.6,686891,Supercontig_1.6,726774
A6.U5C,NS500350:127:H7FHLBGXX:2:21302:20689:14639,Supercontig_1.6,686891,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:1:13204:8997:19775,Supercontig_1.6,686892,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:21105:25411:10668,Supercontig_1.6,686892,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:1:21101:8334:7456,Supercontig_1.6,686893,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:1:13107:14456:18003,Supercontig_1.6,686894,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:12107:26260:8909,Supercontig_1.6,686894,Supercontig_1.6,726771
A6.U5C,NS500350:127:H7FHLBGXX:1:22204:13930:5439,Supercontig_1.6,686897,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:12103:11769:12595,Supercontig_1.6,686897,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:12306:21862:3636,Supercontig_1.6,686897,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:12311:5163:14305,Supercontig_1.6,686898,Supercontig_1.6,726774
A6.U5C,NS500350:127:H7FHLBGXX:4:11604:8965:17450,Supercontig_1.6,686898,Supercontig_1.6,726797
A6.U5C,NS500350:127:H7FHLBGXX:1:21301:12157:3936,Supercontig_1.6,686899,Supercontig_1.6,726877
A6.U5C,NS500350:127:H7FHLBGXX:2:11203:5998:16462,Supercontig_1.6,686899,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:22304:1564:9801,Supercontig_1.6,686900,Supercontig_1.6,726783
A6.U5C,NS500350:127:H7FHLBGXX:3:23512:17814:12087,Supercontig_1.6,686900,Supercontig_1.6,726806
A6.U5C,NS500350:127:H7FHLBGXX:1:11301:15283:1416,Supercontig_1.6,686905,Supercontig_1.6,726861
A6.U5C,NS500350:127:H7FHLBGXX:2:23101:19325:18020,Supercontig_1.6,686905,Supercontig_1.6,726767
A6.U5C,NS500350:127:H7FHLBGXX:2:11105:20738:13970,Supercontig_1.6,686906,Supercontig_1.6,726821
A6.U5C,NS500350:127:H7FHLBGXX:3:11505:13240:7990,Supercontig_1.6,686906,Supercontig_1.6,726777
A6.U5C,NS500350:127:H7FHLBGXX:4:11410:21307:4912,Supercontig_1.6,686906,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:12502:1830:7598,Supercontig_1.6,686906,Supercontig_1.6,726821
A6.U5C,NS500350:127:H7FHLBGXX:2:12303:9660:17214,Supercontig_1.6,686908,Supercontig_1.6,726855
A6.U5C,NS500350:127:H7FHLBGXX:3:12512:22327:4201,Supercontig_1.6,686909,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:3:12602:3191:4634,Supercontig_1.6,686909,Supercontig_1.6,726778
A6.U5C,NS500350:127:H7FHLBGXX:1:11311:14480:4806,Supercontig_1.6,686910,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:21412:11209:19724,Supercontig_1.6,686911,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:3:23404:9978:8904,Supercontig_1.6,686912,Supercontig_1.6,726891
A6.U5C,NS500350:127:H7FHLBGXX:4:22408:10821:12840,Supercontig_1.6,686912,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:11212:12208:13215,Supercontig_1.6,686913,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:2:11305:5027:10919,Supercontig_1.6,686913,Supercontig_1.6,726832
A6.U5C,NS500350:127:H7FHLBGXX:3:12503:15674:8419,Supercontig_1.6,686913,Supercontig_1.6,726900
A6.U5C,NS500350:127:H7FHLBGXX:3:12612:15036:17886,Supercontig_1.6,686913,Supercontig_1.6,726949
A6.U5C,NS500350:127:H7FHLBGXX:3:22606:3123:8616,Supercontig_1.6,686913,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:12610:5778:19750,Supercontig_1.6,686913,Supercontig_1.6,726766
A6.U5C,NS500350:127:H7FHLBGXX:4:22408:21949:18121,Supercontig_1.6,686913,Supercontig_1.6,726895
A6.U5C,NS500350:127:H7FHLBGXX:3:11507:21768:2440,Supercontig_1.6,686914,Supercontig_1.6,726766
